,Created At,Text,Location,Address,Longitude,Latitude
140,Fri Mar 06 23:25:41 +0000 2020, @ SamarKrishnaKu1 @ TeamBabul @ SuPriyoBabul @ BJP4India @ BJP4Asansol Fantastic pic 2019 bengal anti CAA protest . Wb 👮… https : //t.co/OWnjrZFSvr,"West Bengal, India","West Bengal, India",87.6855882,22.9964948
389,Sat Mar 07 03:40:31 +0000 2020," 11 days back , I reported hooter system installed anti-CAA protest sites . Today @ indiatvnews team encountered system first hand . https : //t.co/FZK7uYUkJs",INDIA,India,78.6677428,22.3511148
637,Sat Mar 07 03:49:20 +0000 2020," PM Narendra Modi calls lobby 's duplicity speaking Times Group summit . 'They advise world refugees , oppose CAA , ' says PM Modi . Listen . https : //t.co/u2jclaDEMb",mumbai ,"Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
1130,Sat Mar 07 04:15:28 +0000 2020," `` Freedom world 2020 '' report ranks India among least free democracies India ranked 83rd position , year score India dropped 4 points Main reasons decline •Subsequent shut Kashmir •NRC CAA also reason •Crackdown mass protest",New Delhi,"New Delhi, Delhi, India",77.2022662,28.6141793
1485,Sat Mar 07 04:29:27 +0000 2020, Door door visit find anti CAA protestors,New Delhi,"New Delhi, Delhi, India",77.2022662,28.6141793
