,Created At,Text,Location,Address,Longitude,Latitude
173,Thu Mar 05 17:47:45 +0000 2020," 'We The People Of India ' Workshop CAA NPR NRC transgender persons others Kolar Town , Karnataka , 5th March 2020 Organised Ashwini Rajan , Swaraj India leader Kolar # SayNoToNPR # BoycottNPR https : //t.co/yksTcbER90","Madhepura, Bihar, India","Madhepura, Bihar, India",86.82042961035677,25.9259562
175,Thu Mar 05 17:47:56 +0000 2020," CAA necessary : Why many arguments unconstitutional ’ hold water . A great lawyer shows Truth leftist malcontents , Lutyens Delhi support anarchists hurt India ! https : //t.co/mvPfaFUgdI",India,India,78.6677428,22.3511148
179,Thu Mar 05 17:48:01 +0000 2020," # ShaheenBaghEmpty | Shaheen Bagh may empty anti-CAA movement go : Vivek Srivastava , Political Analyst https : //t.co/RZHKU3wOei https : //t.co/IOPUzo0Qsk",Jai Shree Ram,"Jai Shree Ram Trading Comapny, A B Road, Sawer Tahsil, Indore, Madhya Pradesh, 453771, India",75.9271815,22.8177782
180,Thu Mar 05 17:48:02 +0000 2020," This regime much bigger work 370 , CAA , big statues , changing names , twitter handle control bhakt , hum… https : //t.co/2d7ce4ThDn","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
181,Thu Mar 05 17:48:02 +0000 2020, @ IndiaInNepal kindly take action .,India,India,78.6677428,22.3511148
183,Thu Mar 05 17:48:09 +0000 2020, @ vinodvariganti ji presenting book @ sambitswaraj ji today ’ Legal & amp ; Legislative cell meeting CAA Held K… https : //t.co/ricKbqebqf,"Hyderabad, India","Hyderabad, Telangana, India",78.46106473453146,17.38878595
184,Thu Mar 05 17:48:13 +0000 2020," # modi ji , ya toh kuch keejiye ya gaddi chhod deejiye.l # congressi , iam @ BJP4India supporter muc… https : //t.co/4Dze85mqEW",India ,India,78.6677428,22.3511148
185,Thu Mar 05 17:48:17 +0000 2020, # rubbishkumar Such Shame . A biased News channel case Hindu says Rambakt case CAA Supporter Says A man https : //t.co/w0oud1DzE7,"Udupi, India","Udupi, Udupi taluku, Udupi district, Karnataka, 576101, India",74.7473232,13.3419169
187,Thu Mar 05 17:48:19 +0000 2020," This week Albany became third U.S. city pass resolution denouncing Indian government CAA-NRC agenda , following Cambridge Seattle 's lead . https : //t.co/GPZK8b2QxH",New York City,"New York, United States of America",-74.0060152,40.7127281
189,Thu Mar 05 17:48:22 +0000 2020," CAA necessary : Why many arguments unconstitutional ’ hold water , writes Harish Salve https : //t.co/T19Lxz0SPw via NaMo App https : //t.co/hd8mJXEYZ4",bettiah,"Bettiah, Pashchim Champaran, Bihar, 845438, India",84.56010678772793,26.791072749999998
190,Thu Mar 05 17:48:23 +0000 2020," CAA n't provide succor religious minorities Pakistan & amp ; Bangladesh , also aimed draw world 's attention persecution . But powers & amp ; connections fibbies , ended used example persecution minorities Modi .",India,India,78.6677428,22.3511148
191,Thu Mar 05 17:48:27 +0000 2020," No previous Government raised alarm questioned dwindling minority population countries , … https : //t.co/jd2k2zogXQ","Jammu, Jammu And Kashmir","Jammu, Jammu and Kashmir, 180001, India",74.8580917,32.7185614
192,Thu Mar 05 17:48:32 +0000 2020, ZAYYYNN SIGNED WITH CAA CNFJRK ! ! ! https : //t.co/dxQSGQGNM9,One Direction’s House ,"Toutes Directions Camping Barthelasse, Carreterie - Université, Saint-Jean, Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France",4.8170211,43.9528809
194,Thu Mar 05 17:48:37 +0000 2020, RT @ Abhina_Prakash : Judiciary must remain limits https : //t.co/78UkqOD5rh,India,India,78.6677428,22.3511148
196,Thu Mar 05 17:48:39 +0000 2020," @ INCIndia When leaders Ghelot , Chidambaram , Tarun Gogoi , Shinde wanted CAA undemocratic policy would embarrass govt . You guys disgusting 😡",India,India,78.6677428,22.3511148
198,Thu Mar 05 17:48:47 +0000 2020," Do really need proof non-Muslims Pakistan , Afghanistan Bangladesh persecuted ? Harish Salve slams detractors CAA https : //t.co/1mJBuIJvV4",Hyderabad,"Hyderabad, Telangana, India",78.46106473453146,17.38878595
199,Thu Mar 05 17:48:48 +0000 2020," Some hour ago , last night goons set Protest site ( CAA NRC Protest ) Sawai Maadhopur , Rajasthan fire . Everything control . This really getting hand . https : //t.co/lrQiXl68WW","New Delhi, India","New Delhi, Delhi, India",77.2022662,28.6141793
200,Thu Mar 05 17:48:54 +0000 2020, Ace lawyer Harish Salve destroys Liberal propaganda CAA left-Islamist front angry… https : //t.co/bUlvKAbG1k,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",77.2219388,28.6517178
201,Thu Mar 05 17:48:55 +0000 2020, ' # CAA necessary : Why many arguments unconstitutional ’ hold water' Must read commentary Harish Salve https : //t.co/TnlGYsJpyc,India,India,78.6677428,22.3511148
203,Thu Mar 05 17:49:00 +0000 2020, @ INCIndia Foolish party always remains foolish . What unconstitutional CAA ! Your party MPs present houses Patliament passed .,India,India,78.6677428,22.3511148
204,Thu Mar 05 17:49:00 +0000 2020, RT @ bbyrubyx : Happy birthday caa @ ftimakhairunisa 💙💛,"Munich, Bavaria","München, Bayern, Deutschland",11.5753822,48.1371079
205,Thu Mar 05 17:49:04 +0000 2020, @ INCIndia Its expected INC ... Remember messages support Anti-CAA cause another defeat party . It 's time understand national interest .,India,India,78.6677428,22.3511148
206,Thu Mar 05 17:49:08 +0000 2020, Why # CAA necessary : Why many arguments unconstitutional ’ hold water | Must-read piece Harish Salve https : //t.co/7womtw9PIF,"New Jersey, USA","New Jersey, United States of America",-74.4041622,40.0757384
207,Thu Mar 05 17:49:08 +0000 2020, @ sumanthraman @ Dayanidhi_Maran Yes Sumanth Raman supporter CAA tar entire community .,Chennai,"Chennai, Chennai district, Tamil Nadu, India",80.2838331,13.0801721
208,Thu Mar 05 17:49:09 +0000 2020, RT @ AmitThakerBJP : CAA necessary : Why many arguments unconstitutional ’ hold water . https : //t.co/C6T8RdYboh,"Ahmadabad City, India","Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India",72.5797068,23.0216238
209,Thu Mar 05 17:49:13 +0000 2020, RT @ sambitswaraj : Friends today I Hyderabad talk # CAA https : //t.co/rPd2pCYNIq,"Uttar Pradesh, India","Uttar Pradesh, India",80.859666,27.1303344
211,Thu Mar 05 17:49:18 +0000 2020," Yes , Farooq Abdullah 's hebeas corpus case wait ; deciding CAA wait ; foreign investors come first . Increasingly , India 's Supreme Court looks like caricature : https : //t.co/k5TomsO7zu @ gautambhatia88 , await thoughts ...",India,India,78.6677428,22.3511148
212,Thu Mar 05 17:49:24 +0000 2020," RT @ DEADLINE : Andrew Yang , Evelyn Yang Sign With CAA https : //t.co/nX5Te4L70D https : //t.co/udZwVwR0KW","Los Angeles, CA","Los Angeles, Los Angeles County, California, United States of America",-118.2427666,34.0536909
214,Thu Mar 05 17:49:28 +0000 2020," Indians documents 1960s , 50s even Indian govt records match the… https : //t.co/VS1uIjAqeu",Vantage Point,"34, Vantage Point, Burleigh Heads, Gold Coast, Queensland, 4220, Australia",153.4448942549205,-28.1015293
216,Thu Mar 05 17:49:31 +0000 2020, @ mshabeerali @ jijoy_matt And 're deadly disease entire humanity . Good explanation required who… https : //t.co/BsLnXIl0MD,India,India,78.6677428,22.3511148
219,Thu Mar 05 17:49:47 +0000 2020, # ShaheenBaghEmpty thanks Arnab long time nearly two years started leading topics disc… https : //t.co/57unusJtn6,Hindustan,India,78.6677428,22.3511148
220,Thu Mar 05 17:49:48 +0000 2020," We detail police Bidar , Karnataka , ignored guidelines sedition juvenile law intimidate parents , students & amp ; school staged satirical play mocking # NRC # NarendraModi . https : //t.co/5laT0tJk4S","Mumbai, Hyderabad","RC Puram BHEL - Beeramguda Rd Mumbai Highway, Beeramguda Junction, Ward 112 Ramachandrapuram, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Ramachandrapuram mandal, Sangareddy, Telangana, 502032, India",78.3044857,17.5066303
