,Created At,Text,Location,Address,Longitude,Latitude
0,Wed Mar 04 17:24:47 +0000 2020," UNHRC reached SC CAA . Now see irony- CAA fast-track provide citizenship refugees came due religious persecution . So @ UNHumanRights instead asking Pak , Afg n Ban stop religious persecution. , r asking India give citizenship😂",Constitution,"The Constitution, Alpine Shire, Victoria, Australia",146.827171,-36.6718897
2,Wed Mar 04 17:24:50 +0000 2020," These MusIim women tell How FORCЕD & amp ; THRЕАTENED BY THEIR OWN MEN Go & amp ; sit Anti CAA Protests & amp ; raise Anti India Slogans . They Beаten Refuse . `` We didnt want go , Men entered housе & amp ; beat us & amp ; forced us go dharna '' https : //t.co/YEZEaonW9Z",Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",77.2219388,28.6517178
4,Wed Mar 04 17:24:50 +0000 2020, RT @ pokershash : ‘ Sherniya ’ explaining PIGs forced go anti- CAA protests 😂😂😂 https : //t.co/85qR2bxaMa,Mumbai,"Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
5,Wed Mar 04 17:24:50 +0000 2020, Remember dystopia pseudo liberals created internet ban Kashmir post # 370Abrogation ? How minorit… https : //t.co/GAPhFzsGP1,"Hyderabad, India","Hyderabad, Telangana, India",78.46106473453146,17.38878595
6,Wed Mar 04 17:24:52 +0000 2020, Urgent : anyone concerned India & amp ; Kashmir tag @ RepEliotEngel . @ HouseForeign marking legislation TODAY ’ refusing consider HR 745 condemns atrocities Kashmir & amp ; potential amendment would denounced CAA & amp ; NRC . Spread word .,"West Bengal, India","West Bengal, India",87.6855882,22.9964948
8,Wed Mar 04 17:24:56 +0000 2020," Moments make worth journalist : Aish Mohammad , man served CRPF 22 yrs house burnt rioters ... today given cheque Rs 11 lakhs CRPF help rebuild house @ ndtv contacted CRPF story n decided help https : //t.co/u9tc5xankZ",Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",77.2219388,28.6517178
11,Wed Mar 04 17:25:00 +0000 2020, @ Towson_MBB clinched top three seed CAA Tournament . Check recap Tigers regular season final… https : //t.co/KLNH2PlBMs,"Towson, Maryland","Towson, Baltimore County, Maryland, 21252, United States of America",-76.602388,39.4018552
13,Wed Mar 04 17:25:04 +0000 2020," CAA Act passed Indian Parliament . Muslims , help Modi haters , Commies & amp ; foreign funded NGOs opposing . By implication , want veto power Indian Parliament . @ davidfrawleyved @ abhijitmajumder @ mariawirth1 @ sgurumurthy @ Si_lv_er @ ashokepandit","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
16,Wed Mar 04 17:25:05 +0000 2020, Due CAA : persecuted Hindu Pakistan wait 5 yrs instead 12 yrs apply citizenship . Mamata opposing every speech . But wants Muslim Bangladesh able walk get spot citizenship . Let sink .,"Pune, India","Pune, Pune City, Pune District, Maharashtra, 411001, India",73.8544541,18.521428
17,Wed Mar 04 17:25:06 +0000 2020, International behaviour towards India shown true nature world opinion towards India Anti CAA agitation . A big lie pinned us . Now UN HRC wants intervene Supreme Court hearing ! ! !,delhi india,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",77.2219388,28.6517178
19,Wed Mar 04 17:25:08 +0000 2020," RT @ madeforbrettLEE : SAY NO TO CAA , NRC , NPR . FCUK BJP FCUK RSS","Bengaluru, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
20,Wed Mar 04 17:25:08 +0000 2020, Swara Bhaskar instigating public mocking `` humanetarian CAA bill '' . Watch till end Swara shared stage Sharjeel Imam wanted cut Aasam & amp ; arranged rallies free JNU backdoor She provoked public police @ TarekFatah https : //t.co/lKVvH36D6k,bangalore,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
22,Wed Mar 04 17:25:08 +0000 2020, Citizens Mumbai backing hitting streets protest # CAA_NRC Today attended addressed Huge Protest Andheri West . We stay united say CAA/NRC/NPR @ FahadTISS @ ReallySwara @ naukarshah # IndiaAgainstCAA_NRC # CAAProtests https : //t.co/5uyoeSoKRz,"मुंबई, भारत","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
23,Wed Mar 04 17:25:09 +0000 2020," `` 'Aadhar card helped convert black money white '' Clearly misguided anti CAA women idea talking , people like # HarshMander behind brainwashing minds using political tools # WomenofShaheenBagh # CongressUnitesIndia # SayNoToCAA https : //t.co/88leE2zKFs","Noida, India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India",77.3547609,28.5726442
