Created At,Text,Location
Tue Mar 03 21:08:23 +0000 2020, # UNHRC application # SupremeCourt minces words criticising # CAA . The plea says # CAA puts Muslim migrants risk & amp ; law issues reasonableness & amp ; objectivity . It also says # CAA may sync India 's commitment international covenants . https : //t.co/Y9FfiVE77w,"Solapur, India"
Tue Mar 03 21:08:24 +0000 2020," In India : Illegal Bangladeshi infiltrators protesting CAA . Recently 2 Bangladeshis arrested involvement Delhi 's Seemapuri violence . In Bangladesh : Today , Bangladesh security shot dead 8 Rohingyas near refugee camp allegedly involved drug & amp ; human trafficking","Bengaluru, India"
Tue Mar 03 21:08:25 +0000 2020, Meet Mr. Devkinandan Thakur . He 's staunch supporter # CAA help Hindu women escape sexual abuse Pakistan Bangladesh . Today booked sexually abusing woman along 6 others . Did I mention gives discourses Hindu religion ? https : //t.co/ghLfDaAPfi,India
Tue Mar 03 21:08:27 +0000 2020, @ sonamakapoor @ BazaarArabia In Pakistan H ! ndus Second Class Citizens ... Where Jhdis abduct H ! ndu girls get converted That 's CAA https : //t.co/AebR6BYIF8,
Tue Mar 03 21:08:28 +0000 2020, RT @ LiveLawIndia : UN High Commissioner Human Rights files intervention application India 's Supreme Court CAA ; MEA says is…,
Tue Mar 03 21:08:30 +0000 2020," Likely Start Issuing NRC Rejection Slips From March 20 , Says Assam Government https : //t.co/KdtldIrvbq via @ thewire_in",
Tue Mar 03 21:08:35 +0000 2020," Cherry picking information koi inse sikhe 🙄 CAA poorly put together rest world fooled , given t… https : //t.co/ncyXwgbEBh",
Tue Mar 03 21:08:36 +0000 2020, @ nrc So silly THE GREEN PARTIES cant waite vote next year must open bfc eyes see 's r… https : //t.co/ffWeTsUW5h,
Tue Mar 03 21:08:40 +0000 2020, United Nations Buisness approach Indian Supreme Court challenge Law made Indian Parliment . This shows motivated foreign Lobby CAA . Govt register strong objection & amp ; hopefully SC dismiss heavy costs,Where I'M meant to be ..
Tue Mar 03 21:08:41 +0000 2020," Yesterday @ orfevents @ hinducollege I asked dangers frm recent domestic actions govt- 370 , Kashmir , CAA etc foreign policy . My response : internationalisation unprecedented scale , ties neighbours like Bangladesh & amp ; others , propaganda intl terror groups https : //t.co/amNBVfW0Xz","Solapur, India"
Tue Mar 03 21:08:43 +0000 2020, Who would Men 's # CAAHoops All-CAA Second Team ? Here 's Insider @ eamonnbrennan would ⬇️ The Men 's # CAAHoops post-season honors announced Friday Noon https : //t.co/WidZjeHld7,
Tue Mar 03 21:08:45 +0000 2020," We must rightly condemn violence hear plainly see evidence directed towards peaceful Hindu community- muslim school terrace . So International Media ? Cowering , ’ . Spineless insipid anti Hindu propagandists . 🥊 https : //t.co/pQIe6rGU7C",Stalybridge Cheshire
Tue Mar 03 21:08:46 +0000 2020, # DelhiRiotTruth : Muslim school terrace used target # Hindus Bricks 🧱 Petrol Bombs . Who # AntiHindu planning name # CAA ? Is conspiracy political parties appease particular community ? # BritishHindus condemn # DelhiGenocide2020 https : //t.co/UboHVFjzzd,"Wales, United Kingdom"
Tue Mar 03 21:08:47 +0000 2020, Imagine THIS man HC get FIRs done people hate speech . THIS MAN - says neither Parliament Nor Supreme Court decide CAA decide streets . This man given midnight hearing judge . Imagine . https : //t.co/B4L68i1VoQ,New Delhi
Tue Mar 03 21:08:52 +0000 2020, RT @ desimojito : How got crowd anti CAA protests https : //t.co/66b3vxuadP,
Tue Mar 03 21:08:53 +0000 2020," UN Human Rights Chief Moves Intervene Over CAA SC , India Objects @ UN 's @ mbachelet : “ Police inaction face attacks Muslims groups , well previous reports excessive use force police peaceful protesters ” https : //t.co/Wz54RwtDTB","Potiskum, Nigeria"
Tue Mar 03 21:08:57 +0000 2020," Unprecedented internationalisation Indian law @ mbachelet @ OHCHRAsia , petition says `` The High Commissioner seeks intervene , virtue mandate protect promote human rights ... established pursuant United Nations General Assembly resolution 48/141","Solapur, India"
Tue Mar 03 21:08:59 +0000 2020," RT @ RatanSharda55 : Though I would n't call idiot , hypocrite , side kick Nehru dynasty","Dehradun, India"
Tue Mar 03 21:08:59 +0000 2020," # Exposed Here Ultra-Left Activist Harsh Mandar instigating Anti-CAA Protesters spewing venom Supreme Court India , clearly asking protesters believe highest institution judiciary . https : //t.co/nxRmkIxiav",BIHARSHARIF
Tue Mar 03 21:09:01 +0000 2020, My piece leadership crisis Congress consequence future India “ Missing Rahul Delhi ” https : //t.co/Ev8QaFrENW via @ IndianExpress,"Washington, D.C."
Tue Mar 03 21:09:03 +0000 2020," Breaking : UN High Commissioner Human Rights files Intervention Application Supreme Court India CAA . @ MEAIndia says CAA internal matter. , `` foreign party locus standi issues pertaining India ’ sovereignty . ''","Solapur, India"
Tue Mar 03 21:09:04 +0000 2020," These MusIim women tell How FORCЕD & amp ; THRЕАTENED BY THEIR OWN MEN Go & amp ; sit Anti CAA Protests & amp ; raise Anti India Slogans . They Beаten Refuse . `` We didnt want go , Men entered housе & amp ; beat us & amp ; forced us go dharna '' https : //t.co/YEZEaonW9Z",Singapore
Tue Mar 03 21:09:06 +0000 2020, Do read fine intervention UN High Commissioner Human Rights exposing unconstitutional nature CAA & amp ; also violates India 's international obligations several treaties https : //t.co/rMJjYN2afi,"Hyderabad, India"
Tue Mar 03 21:09:07 +0000 2020," A law discriminates minorities & amp ; NRC threatens render millions Stateless , put detention centres certainly matter UN High Commissioner Human rights intervene","New Delhi, India"
Tue Mar 03 21:09:08 +0000 2020, Same happened Shaheen Bagh . Some one issued Fatwa use women kids shield block Delhi-Noida road two months . Truth come Police crack interrogate women . 99 % tell truth handlers 😎 https : //t.co/kk3UvHn8WA,
Tue Mar 03 21:09:13 +0000 2020," Irony CAA . Hard point minority rights countries , without inviting questions one 's record .",
Tue Mar 03 21:09:13 +0000 2020, RT @ Brahmeme : This treat women . They beat women 's name CAA monster sale https : //t.co/9OW6pMNJFS,India
Tue Mar 03 21:09:14 +0000 2020," US pulled @ UN_HRC calling `` cess pool bias '' . Now , intervening ongoing case CAA India lived description . UNHRC first intervene Iran , Pak , China preach India .",new delhi
