Tue Mar 03 21:09:17 +0000 2020," UN body goes Supreme Court CAA ; ‘ internal matter ’ , says government | India News – Times India … https : //t.co/uuRqdy6qdw",
Tue Mar 03 21:09:18 +0000 2020, RT @ NetajiBond : This tje bring crowd Anti CAA protests . https : //t.co/ikEAdkT5Rw,India
Tue Mar 03 21:09:19 +0000 2020, RT @ rvaidya2000 : Besh -- But worried abt CAA India -- crazy nuts : ) ) RT,
Tue Mar 03 21:09:20 +0000 2020," After EAM Foreign Secretary says NRC NO implication Bangladesh . So basically NRC tool harass India 's citizens , render stateless deny rights . https : //t.co/C8PFEmJdcb",गौऊ शाला इन भक्तलैंड 
Tue Mar 03 21:09:22 +0000 2020," UN High Commissioner Human Rights files intervention plea Supreme Court Citizenship Bill , India protests . https : //t.co/Q9gppfWpGY",Sydney Australia 
Tue Mar 03 21:09:24 +0000 2020," That # Constitution established law ( Citizenship Act 1955 ) # India says . CM Mamata Banerjee taken oath uphold Constitution India . If indeed said , totally unacceptable shocking call 'UN referendum ' # CAA .","Hyderabad, India"
Tue Mar 03 21:09:25 +0000 2020, UNHRC filed petition SC CAA 🔸It 's big failure Modi Govt 's diplomacy 🔸UN directly interfering law passed parliament . Never happened ? 🔸Indicates world lost trust Modi 's ability abide rule law & amp ; human rights,
Tue Mar 03 21:09:26 +0000 2020," still 2.6 % . That 3,048,289 currently-valid certificates affected , ~116 million overall active Let… https : //t.co/YR4nTMyndz",
Tue Mar 03 21:09:28 +0000 2020, `` Courts equipped prevent riots '' - CJI Bobde '' Rioting must stop want apex court hear case '' - CJI Bobde warned Jamia students CAA protests https : //t.co/XeZhUJaHIM,गौऊ शाला इन भक्तलैंड 
Tue Mar 03 21:09:38 +0000 2020, @ thelogicalPersp @ BahubaliDKiller @ Soumya58880358 @ Nehr_who @ suhasinih @ DilliDurAst So ur opposition CAA t… https : //t.co/GB9zpnNrJA,
Tue Mar 03 21:09:42 +0000 2020," This want , Muslims want muslims inside India Pak/Af/Bangla . Also Rohingya 's given citizenship . 'unfinished ' agenda executed earliest . Opposition parties wants get back saddle power loot Nation . Hindus ?",Dumeels land
Tue Mar 03 21:09:44 +0000 2020," Congress took internal matter India , Kashmir United Nation & amp ; generations Indians suffered . Now supports UN interference Indian Law- CAA . Thankfully India rejected 2014 -2919",
Tue Mar 03 21:09:45 +0000 2020," India , land Gandhi & amp ; Nehru , never line round shameful international opprobrium . Unprecedented : United Nations ⁦ @ UN⁩ High Commissioner Human Rights files intervention plea Supreme Court # CAA_NRC_Protests https : //t.co/wcWy7qFU0J","The Earth ,God’s Own Planet "
Tue Mar 03 21:09:51 +0000 2020," This Indian Parliament , House Lords , Upper House UK Parliament . Watch wonderful speech Lord Alton Liverpool Debates CAA. `` -- People India protesting draconian law communal unconstitutional '' https : //t.co/E6KOLDzK5i",
Tue Mar 03 21:09:51 +0000 2020," @ paragmasteh No . Its presumptions . Intr dont care , reports . CAA need !",Bengaluru
Tue Mar 03 21:09:52 +0000 2020, Such provocative speeches given maulanas name Anti caa protests since last 2 months different parts india . & amp ; come streets act per तकरीर maulanas . liberals wl blame kapil mishra.🙏🙏 https : //t.co/8CDhQt1STU,
Tue Mar 03 21:09:59 +0000 2020, Introducing new subject talk ! First speech # GudhiPadwa # Jamat_E_Secular Ram Mandir CAA : How called seculars decieved nation . ( Marathi/Hindi/English ) Let 's understand # BreakingIndia conspiracy stay united ! # JaiHind https : //t.co/9nZxQMbU7D,"Mumbai, India"
Tue Mar 03 21:10:04 +0000 2020, Big Breaking ! UN High Commissioner Human Rights ( UNHRC ) files intervention application India 's Supreme Court CAA . Well done UNHRC well done 👏👏,"Muscat, Oman"
Tue Mar 03 21:10:15 +0000 2020, RT @ RMCpost : This interesting ... . https : //t.co/rH9yVnwZ91,
Tue Mar 03 21:10:17 +0000 2020, The courts create far pressure us ordinary people delaying hearings & amp ; rulings unconstitution… https : //t.co/bOCPeZUhTt,Noida
Tue Mar 03 21:10:18 +0000 2020," Has UNHRC heard Lautenberg amendment persecuted groups grants refugee status United States Jews , Evangelical Christians , Catholics , Orthodox Baha ’ . UNHRC disclose many Hindus given refugees status Pak , Afg Bangladesh ? https : //t.co/rfRYW06f1e","NIRD Intern, Hyderabad"
Tue Mar 03 21:10:19 +0000 2020," British MPs lined attack India House Commons today , CAA associated violence https : //t.co/CP6Yw3y4iF via @ timesofindia","New Delhi, Delhi"
Tue Mar 03 21:10:22 +0000 2020," On Tuesday , MEA spokesperson , Raveesh Kumar , reiterated CAA internal affair India foreign party locus standi issues related India 's sovereignty https : //t.co/r9WQ2zhvY5",mumbai
Tue Mar 03 21:10:27 +0000 2020," Holy moly , @ letsencrypt going revoke 3,048,289 certificates tomorrow `` may '' wrongfully issued due wrong CAA DNS check . To check 're affected , need re-issue certs ( tomorrow ! ) , check : https : //t.co/O5yZz3USRn","Copenhagen, Denmark"
Tue Mar 03 21:10:41 +0000 2020," @ besharam_clown tyrannical govt curbs fundamental rights , wages war # CAA constitution n violates Ind… https : //t.co/pwuI0kD9eG","Basel City, Switzerland"
Tue Mar 03 21:10:52 +0000 2020," 14 years ago I wrote two bestsellers titled Hindus Under Siege Terrorism India . When Namo became PM 2014 I thought books become obsolete . But anti-CAA circus , US capitulation Afghanistan , books need updated .","Jodhpur, India"
Tue Mar 03 21:10:55 +0000 2020," British MPs , across political spectrum , urging UK government take much stronger action response CAA violence linked https : //t.co/CP6Yw3y4iF via @ timesofindia",
Tue Mar 03 21:11:03 +0000 2020, RT @ proloynandy1 : Watch `` CAA Row : Pondicherry University Gold Medallist Denied Entry To Convocation Ceremony '' YouTube https : //t.co/EOgn8…,kolkata
Tue Mar 03 21:11:06 +0000 2020," Mslim men forcing , @ ting women go Anti CAA Protests & amp ; chant Anti-India slogans . But trust Yogi govt women refusing complaining police . https : //t.co/7grEQL4Upq",
Tue Mar 03 21:11:11 +0000 2020," Really , # UNHRC ? No court intervention agnst # China ( repression/torture Tibet & amp ; Xinjiang ) , # Iran ( torture/killings pol prisoners ) # Pakistan ( torture , genocide Balochistan ) U hv shame opposing # CAA humanitarian aid persecutd minorities ? Even hypocrisy limits",HiranyaGarbha
Tue Mar 03 21:11:19 +0000 2020, RT @ antokannankt : Delhi Mob Burnt Down Home Of Soldier Who Served Country For 22 Years https : //t.co/InH7uo819o,
Tue Mar 03 21:11:20 +0000 2020, RT @ kaaashif : Albany New York state unanimously passes resolution condemning India 's CAA . https : //t.co/l4PMFydCu5 https : //t.co/aJGbeWG…,"Dubai, United Arab Emirates"
Tue Mar 03 21:11:25 +0000 2020, UN High Commissioner Human Rights Michelle Bachelet moving file intervention application Supreme Court Citizenship Amendment Act ( CAA ) . https : //t.co/s9p11No4dx,
Tue Mar 03 21:11:27 +0000 2020," @ UN A brave move UN support Indian citizens stand CAA , hope tomorrow ’ humanity… https : //t.co/mUne76zxV5","Dubai, United Arab Emirates"
Tue Mar 03 21:11:29 +0000 2020," Just : Office UN Human Rights Commissioner ( OHCHR ) files intervention plea Supreme Court India CAA . Govt says hopes SC vindicate stand.. CAA internal matter , constitutionally valid : MEA",
Tue Mar 03 21:11:38 +0000 2020, # UNHRC world 's famous human rights body declared law discriminatory made move requesting permission intervention state matters . You still think n't biased law ? Think . https : //t.co/7HMttfalFj,
Tue Mar 03 21:11:38 +0000 2020, Pratap Bhanu Mehta first write street pressure must created influence judiciary CAA petitions someone wrote ? Hope happy 50 deaths Delhi thanks street pressure .,Mumbai - Delhi - Goa
Tue Mar 03 21:11:41 +0000 2020," Well , let ’ wait see . “ Advertising via privacy-invasive cookies day . Good old contextual advertisin… https : //t.co/UUPaeaWoyo",The Netherlands
Tue Mar 03 21:11:48 +0000 2020," 2 killed , 10 injured , Internet banned , curfew anti-CAA protests faraway Meghalaya . Under NDA govt & amp ; BJP ’ favourite governor . No Muslims/Hindus/Congress/ ‘ urban naxals ’ blame . Time BJP woke fire ’ lit across India ...",
Tue Mar 03 21:11:49 +0000 2020, @ babuchandra01 @ ysjagan The core context NPR distrust government due antics . Also CAA fundamentally constitution mentioning religion qualifier questions arise talk abt persecution minorities 3 neighbors & amp ; .,"Mumbai, India"
Tue Mar 03 21:11:50 +0000 2020," They enough courage condemn India even havy sanctions India buys oil . They also working Chabahar together . Only Malaysia , Iran Pakistan spoken . Why rest world silent ? # DelhiBurning # India # CAA # NRC",چند کیلومتری پکن
Tue Mar 03 21:11:53 +0000 2020," When UNHRC reached SC CAA , India said internal matter OIC & amp ; GCC also CAA Except exception , whole world CAA The whole world Indian media support Modi Govt every wrong steps # IslamoPhobicIndianMedia",East Punjab 
Tue Mar 03 21:11:54 +0000 2020, @ babuchandra01 @ ysjagan Chandra babu must aware combination NRC CAA dangerous . You need consider . Through NRC omit one CAA include everyone except Muslim . Open eyes .,"Mumbai, India"
Tue Mar 03 21:11:55 +0000 2020, No comments Libbies ? Shamless hypocrites 😫🤢 🤮 @ khanumarfa @ BDUTT @ Real_Ravish @ RanaAyyub,
Tue Mar 03 21:11:57 +0000 2020, @ JRChennaiah @ JosepBorrellF @ eu_eeas @ tcsavunma @ aneichhorst @ EUDelegationTur @ MaratMakmudov Anyone read NR… https : //t.co/hfi5ewR2ek,
Tue Mar 03 21:11:58 +0000 2020, Cougars Hit The Road For CAA Matchup With Elon https : //t.co/gNRCFDbFkn,"Charleston, SC"
Tue Mar 03 21:11:58 +0000 2020, @ UNHumanRights decided intervene India 's internal matter # CAA approaching SC.Your organisation partial & amp ; hypocrite u conveniently turn blind eye towards massacre Baloch people Pak army . Your 's spineless organisation . Fk 😠😠,"Kanpur, India"
Tue Mar 03 21:12:03 +0000 2020," Anti CAA rally Goa 's Benaulim : Now , Congress leader Ramkrishna Jalmi arrested making derogatory remarks Lord Parshuram . Rally organised various bodies including Centre Social Peace & amp ; Justice ( CSJP ) backed Goa Church . Anti CAA become Anti Hindu .",United States
Tue Mar 03 21:12:03 +0000 2020, RT @ CofCSports : Cougars Hit The Road For CAA Matchup With Elon https : //t.co/gNRCFDbFkn,"Charleston, SC"
Tue Mar 03 21:12:05 +0000 2020, The UN High Commissioner Human Rights ' intervention application three Supreme Court # CAA quite remarkable . Sets international legal standards SC consider without 'taking side ' per se . But blind man see law discriminatory . https : //t.co/Wws0IqgyTa,India
Tue Mar 03 21:12:14 +0000 2020, Officer stopped & amp ; said I talking # NPR & amp ; # NRC I shocked & amp ; said oh sir thanks lot making us und… https : //t.co/Bgyrbcgl5v,"Hyderabad, India"
Tue Mar 03 21:12:17 +0000 2020, RT @ IndianExpress : Bengaluru based research institute gets threat letter ‘ anti-CAA ’ protests https : //t.co/HgV1XIWkKp,Vadakara
Tue Mar 03 21:12:19 +0000 2020, . # India - world ’ largest democracy - tracking well eyes UN Human Rights Commission . Quelle surprise ! https : //t.co/w54gxtRzsq,Pakistan KPK
Tue Mar 03 21:12:23 +0000 2020, Ongoing protest CAA baseless idea . Opposition trying hold back government get successful appe… https : //t.co/Hq4EHJNIeC,Hunting in Forest.
Tue Mar 03 21:12:24 +0000 2020, He Always Rocks😂😂😂,"New Delhi, India"
Tue Mar 03 21:12:26 +0000 2020, Britain right . Desperate attention . Like one cares https : //t.co/DY14RQc3gI,Land of Gauls
Tue Mar 03 21:12:28 +0000 2020, @ Girishvhp @ DrSJaishankar @ MEAIndia Please ensure Subra tamil origin & amp ; resident Malaysia remains hindu . Put pressure ISLAMIC MALAYSIA . If possible amend # CAA & amp ; grant Indian Citizenship . @ PMOIndia,
Tue Mar 03 21:12:30 +0000 2020," Now govt assured Bangladesh , extend courtesy citizens country ? The fate millions people hangs BJP plays dirty politics . https : //t.co/BRNK6SMoNr","Maharashtra, India"
Tue Mar 03 21:12:38 +0000 2020, Labour MP @ stephenctimms said CAA “ decisive move away ” Ambedkar ’ Constitution admired aro… https : //t.co/UOKvD4V3Q4,"London, UK"
Tue Mar 03 21:12:47 +0000 2020, When South Africa legalised Apartheid took World long time take action sanction total boycott . Th… https : //t.co/VqVCvjappN,
Tue Mar 03 21:12:48 +0000 2020," RT @ _CyberSecSocial : Let ’ Encrypt discovers CAA bug , must revoke customer certificates https : //t.co/eallHCXyrk",New York / Michigan
Tue Mar 03 21:12:51 +0000 2020, THANK YOU @ hanno `` lecaa '' tool easily check ( long ) list domains affected @ letsencrypt certificates revoked ( March 4 ! https : //t.co/J6XRq5lkgi Info : https : //t.co/b1TQU5w6Br Also thread @ Scott_Helme *GREAT* info : https : //t.co/7FgNsQZ7sy,"Winnipeg, Canada"
Tue Mar 03 21:12:52 +0000 2020, @ babuchandra01 @ shaikshoaib99 @ ysjagan NPR 2020 NPR 2010 . NPR 2020 serves basis NRC . Source : Ministry Home affairs .,"Mumbai, India"
Tue Mar 03 21:13:04 +0000 2020, RT @ shaikshoaib99 : @ babuchandra01 @ ysjagan Have gone npr nrc ?,"Mumbai, India"
Tue Mar 03 21:13:05 +0000 2020, RT @ DrexelMLax : Ryan Genord named CAA Co-Player Week . The junior eight goals assist two Drexel wins . https : //t.co/VhsC…,"Philadelphia, PA"
Tue Mar 03 21:13:08 +0000 2020, @ JasonMillerinDC https : //t.co/zmFL4BfKTC Interesting comey,
Tue Mar 03 21:13:10 +0000 2020, Our Muslim neighbour lady attending anti-CAA protests week .Intrigued neighbour ladies ( Hindus ) asked mom . My mom told I would know . Just explained CAA 5 aunties : ) feel 😇,
Tue Mar 03 21:13:15 +0000 2020, @ OnsMzali @ RanaAyyub How CAA detrimental Muslims ?,India
Tue Mar 03 21:13:19 +0000 2020," Well , let ’ wait see . “ Advertising via privacy-invasive cookies day . Good old contextual advertising becoming norm ” , writes @ nrc . https : //t.co/Skzq34zHVG",
Tue Mar 03 21:13:19 +0000 2020," Top story : Congress leader Goa arrested derogatory remarks Hindu gods https : //t.co/fLCnMTZElR , see m… https : //t.co/xLp3hJHh16","Gurgaon, India"
Tue Mar 03 21:13:20 +0000 2020, . @ ishkarnBHANDARI @ lawinforce Can man taken court abusing highest court orders ? Can get away openly brazenly going SC judgement ? @ OpIndia_com @ SwarajyaMag https : //t.co/lLYshcIla0,"New Delhi, India"
Tue Mar 03 21:13:20 +0000 2020, What joke ! ! ! In Baluchistan Pak Army known carried carnages . Bt hey Balochi lives ’ matter bcoz ’ grab eyeballs . UN High commissioner Human Rights ( UNHCR ) lost ’ credibility ex-chief ws spotted taking selfies ISI offcrs frm Pak . https : //t.co/eht5x6aOCO,Mumbai
Tue Mar 03 21:13:22 +0000 2020, India : Women wearing burqas distribute weapons rioters Fake News reports terrorists rioting Modi 's CAA gives citizenship non-muslims persecuted In several ISLAMIC nations . The REAL goal rioters turn India Islamic Country ! https : //t.co/uhPuZZ3pwb,"64.7511° N, 147.3494° W"
Tue Mar 03 21:13:25 +0000 2020, During PhD writing years ( 2010 - 2014 ) I ’ guessed behavioural targeting would topic of… https : //t.co/CxCnzLUEiq,The Netherlands
Tue Mar 03 21:13:28 +0000 2020, @ ysjagan Do n't spread misinformation . There nothing CAA take away citizenship Indian muslims . As CM must fully aware .,"Mumbai, India"
Tue Mar 03 21:13:37 +0000 2020," From removing Articles 370 & amp ; 35a Constitution CAA & amp ; NRC , Modi & amp ; BJP whipping anti-Muslim hate . The violence Delhi , dozens died , latest example . Today I called government speak bigotry . https : //t.co/fcsCCgf6cd",Osmania University. 
Tue Mar 03 21:13:41 +0000 2020, UN body goes Supreme Court CAA https : //t.co/xT1InTPC5l,"Hyderabad, India"
Tue Mar 03 21:13:42 +0000 2020," MEDIA BLACKOUT : Jihadis declared WAR non-Muslims India Mullah boasts Muslim pop . double 30yrs , threatens Hindus Islamic rule India , vows PM Modi dead soon & amp ; CAA supporters burned alive Crowd Terrorists celebrate & amp ; chant `` Allahu Akbar '' https : //t.co/xBP200SiDP","San Antonio, TX"
Tue Mar 03 21:13:44 +0000 2020, @ PradhaanSewak @ Arungk34 @ Saral_Shamshad @ ManpritShergill @ SaumyadeepDas4 @ Nehr_who @ narendramodi Hey WhatsApp Univ… https : //t.co/I2zQN5XZZc,India
Tue Mar 03 21:13:46 +0000 2020, @ okokthikhai @ AskAnshul CAA extended wing NRC . Hope heard assam NRC . The whole mission was… https : //t.co/pS87iO9vKt,India
Tue Mar 03 21:13:48 +0000 2020, 👆Listen IDIOT Congress Press briefing 2018 wherein blaming Modi Amit shah going ahead NRC . He started briefing title `` NRC virodhi Narendra Modi '' # saisubr # CAA_NRC_Protests # CAA_NRC_NPR 1/n https : //t.co/3npRXSi8wE,
Tue Mar 03 21:13:56 +0000 2020," All Bangladeshis living Bengal Indian citizens , Mamata Banerjee says , read views issue CM https : //t.co/B0OODulQVg",Mumbai
Tue Mar 03 21:14:06 +0000 2020," CAA presumes countries ill treating minorities offering succour . This ’ interfering internal matters . But nations express concerns discriminatory act , interference internal matters . Hmmm ...","New York, USA"
Tue Mar 03 21:14:26 +0000 2020," Check list , go force-renew LetsEncrypt certs , friends .",Kentucky
Tue Mar 03 21:14:33 +0000 2020, UN body moves Indian Supreme Court contentious citizenship law United Nations High Commissioner Refuge… https : //t.co/lwqtvQCGFV,
Tue Mar 03 21:14:35 +0000 2020, I n't achieved much life I proud I original years NRC .,Not Applicable
Tue Mar 03 21:14:37 +0000 2020, See behavior Police . No law applicable Delhi Police . @ pbhushan1 @ BhavikaKapoor5 @ amitbehere @ sonaliranade Protester came participate Young India March CAA/ @ DelhiPolice @ nsaibalaji @ kawalpreetdu @ kavita_krishnan @ ojhaanjali https : //t.co/Phc7ua4261,New Delhi
Tue Mar 03 21:14:41 +0000 2020," Arrest maulana 's asap r Giving hate speeches name Anti caa protests ! ! 😡😡 He maulana abul kalam ; addressing purnea , bihar . u dnt stop modi ji ; corona virus may spread India & amp ; u may also get infected it.👏👏 https : //t.co/GRuacl0vBG",221B Baker Street
Tue Mar 03 21:14:42 +0000 2020, @ rakhitripathi You dad real pillars anti caa.nrc protest delhi,"Mumbai, India"
Tue Mar 03 21:14:43 +0000 2020, UN High Commissioner Human Rights Michelle Bachelet moving file intervention application Supreme Court Citizenship Amendment Act ( CAA ) . https : //t.co/Clc5dPQakR,
Tue Mar 03 21:14:44 +0000 2020," @ nrc Mike Bloomberg : I 'm Not Upset Many Trump Policies , Just His Style https : //t.co/TfMvHXNOaI via @ BreitbartNews",
Tue Mar 03 21:14:46 +0000 2020," RT @ WatchChad : @ JohnBrennan “ Got ta love ol Jack Brenham ! He ran CAA like real pro , man. ” - Joe Biden",ShadowBanned
Tue Mar 03 21:14:47 +0000 2020, @ fborgesius @ nrc Who needs cookies users within walled gardens ? That 's strategy . Performace marketing w… https : //t.co/R057r6LS4w,Düsseldorf
Tue Mar 03 21:14:52 +0000 2020, But n't threat # India 's secular democracy ? 'Majoritarianism ' promoted # Hindu nationalist # BJP government Featuring interview @ AshoSwai Full video : https : //t.co/C9eF6x7Kjc For please follow @ SubcontinentPTV # CitizenshipAmendmentAct # CAA # NRC # CAAProtest https : //t.co/ZMPBveWbTA,
Tue Mar 03 21:14:50 +0000 2020, Modi Govt says CAA internal matter UNHR files petition SC CAA The Modi Govt Invited envoys Different Foreign countries visit Kashmir & amp ; see Normalcy 370 removed Was n't Kashmir Internal matter ? Why Hypocrisy & amp ; Dual Stand ?,"Toronto, Ontario, Canada"
Tue Mar 03 21:15:15 +0000 2020," As protests new citizenship law sweep country , signs authorities condoning even inst… https : //t.co/QDloIchd8N",Khorasaan
Tue Mar 03 21:15:24 +0000 2020," Majority traders Muslims , stopped buying knitted garments producers , mostly Hindus , claim manufacturers . https : //t.co/rIBCkuJxFr",Earth
Tue Mar 03 21:15:31 +0000 2020, Conference Tournament Predictions A Sun : North Florida Liberty Big South : Winthrop Liberty CAA : William & amp ; … https : //t.co/QOd4yjBTOb,"Gaffney, SC"
Tue Mar 03 21:15:38 +0000 2020," As protests new citizenship law sweep country , signs authorities condoning even instigating violence India ’ Muslims alarmed . https : //t.co/8IbWeYbehh",Italy
Tue Mar 03 21:15:38 +0000 2020, International behaviour towards India shown true nature world opinion towards India Anti CAA agitation . A big lie pinned us . Now UN HRC wants intervene Supreme Court hearing ! ! !,
Tue Mar 03 21:16:04 +0000 2020, @ EmmanuelMacron hey ... ur bk follow twtr..India permanent ... importantly ... Modi permanent hubby..thats great ne… https : //t.co/JSd2o8TNtL,"Bengaluru, India"
Tue Mar 03 21:16:08 +0000 2020, Here ’ online version article https : //t.co/FtueUKNJZF,The Netherlands
Tue Mar 03 21:16:18 +0000 2020," We must rightly condemn violence hear plainly see evidence directed towards peaceful Hindu community- muslim school terrace . So International Media ? Cowering , ’ . Spineless insipid anti Hindu propagandists . 🥊",
Tue Mar 03 21:16:19 +0000 2020," CAA belong Pakistan , Bangladesh Afghanistan anyone ca n't say internal matter . # CAA… https : //t.co/OMDt6JK0K1",RU
Tue Mar 03 21:16:37 +0000 2020, Why world sleeping police brutality Muslims UP/India ? Are waiting full scale genocide ? @ UNHumanRights @ cjwerleman @ OIC_OCI @ USCIRF @ AJEnglish @ BBCWorld @ nytimes @ washingtonpost @ UNGeneva,
Tue Mar 03 21:16:44 +0000 2020," Anti-CAA riots India establishing Sharia , Nothing Else ! In 2017 , SP leader Mavia Ali clear ; '' We 're Muslims first , Indians later - If law clashes w/ ideology Islam , I Islam - We loyal country , leaders '' https : //t.co/Oerl7e1ZTh","Florida, USA"
Tue Mar 03 21:16:51 +0000 2020," RT @ CofCSoftball : A 3-0 record , 0.36 ERA 1 walk 19.2 innings earns Drayton Siegling CAA Pitcher Week honors ! https : //t.co/wc9…",
Tue Mar 03 21:14:08 +0000 2020, When South Africa legalised Apartheid took World long time take action sanction total boycott . This time Indian citizens urge works leaders # BoycottIndia force Govt take back systematic genocide . Act millions lose lives .,"Maharashtra, India"
