Created At,Text,Location
Sat Mar 07 19:42:58 +0000 2020, Tahir Hussain used send 50-60 persons daily Shaheen Bagh protest site several vehicles : Taxi drivers reveal Hussain ’ link anti-CAA protests https : //t.co/PZHU9rVyyR,
Sat Mar 07 19:42:57 +0000 2020," Bangladesh Mullahs spill venom PM @ NarendraModi streets Dhaka . They r protesting India 's new # CAA law . As I said earlier , entire # AntiCAAProtests anger able turn West Bengal Muslim majority state like J & amp ; K. https : //t.co/NFBC7P1A1Q",मेरा भारत महान
Sat Mar 07 19:43:01 +0000 2020," Everyday minor Hindu girls abducted , raped forcibly converted Izlam Pakistan , desi fiberal feminists cheer rapists opposing # CAA ! https : //t.co/Az07vXuZnF",
Sat Mar 07 19:43:02 +0000 2020, @ SakibulHoque8 Some dogs r barking global leader ... .😂😂😂 quiet funny ... indians stop every help to… https : //t.co/djOCZfK2XA,"आसाम, भारत"
Sat Mar 07 19:43:02 +0000 2020," 'Long live Constitution , long live love ' : Full speech Harsh Mander , govt says 'incited ' violence anti-CAA protests https : //t.co/odqr7aesD6",
Sat Mar 07 19:43:03 +0000 2020," UN Human rights commissioner Michelle @ mbachelet `` wronged '' , EAM @ DrSJaishankar 's reply criticism body # CAA ; Highlights `` carefully skirt around cross border terrorism problem '' https : //t.co/v6z5b81fAu","Bela Pratapgarh, India"
Sat Mar 07 19:43:05 +0000 2020, Tum salaamat raho Wazir-e-Aala . @ TelanganaCMO right . NPR-NRC designed leave us mercy babu ’ discretion People Telangana must face indignity . It ’ affect poorest NPR must stayed state https : //t.co/UYYxEH7ZY6,India
Sat Mar 07 19:43:06 +0000 2020, The justice loving people Andhra Pradesh want CM @ ysjagan take categorical position NPR . NPR first step NRC & amp ; stopped unleash human suffering mammoth scale . Addressed impressive gathering Kadapa D.Raja & amp ; @ SitaramYechury https : //t.co/DNBt1s8b21,India
Sat Mar 07 19:43:06 +0000 2020," This violation privacy citizens , privacy fundamental right according Supreme Court . UP Erects Hoardings With Names , Photos Anti-CAA Protesters https : //t.co/pbREEtfs78",hearts and minds
Sat Mar 07 19:43:09 +0000 2020, Why @ nytimes @ washingtonpost @ BBCWorld @ BBC writing ! Have fallen victim guiles Jihadi Khan ?,
Sat Mar 07 19:43:10 +0000 2020, It 's hard describe self-defeating . We going spend huge amount time money levelling CAA discernable reason whatsoever.https : //t.co/Y7f40g4KYu https : //t.co/WVPtyZUR8M,
Sat Mar 07 19:43:10 +0000 2020," RT @ SwarajyaMag : Yogi Govt Erects Hoardings With Names , Photos Of Anti-CAA Rioters And Amount They Need To Pay For Damages https : //t.co/Zx…",India
