Created At,Text,Location
Sun Mar 08 21:53:59 +0000 2020," Breaking : While Allahabd HC indicting harassing anti-CAA protesters , UP Govt sealed Ultrasound Centre Dr Madhavi Mittal ( Radiologist , AIIMS ) Allahabad today , punish husband extending support anti-CAA protest Mansoor Park . https : //t.co/2M5cD2TMHb",
Sun Mar 08 21:54:01 +0000 2020, @ krakek1 Interesting 6th CAA sits vis-a-vis Baltic States . Composed solely brigades .,
Sun Mar 08 21:54:06 +0000 2020, RT @ AbhishBanerj : Link https : //t.co/QWFuklSiyr,
Sun Mar 08 21:54:06 +0000 2020, UP seen severe damage property CAA arson . For first time administration taken rioters head . Judicial adventurism score liberal points drop administration 's morale . The goons burnt Lucknow threat . They threat others,"New Delhi, India"
Sun Mar 08 21:54:09 +0000 2020," Police sources said couple members ISIS , propagating ideology hatred non-Muslims thereby also inciting Muslims kill non-Muslims . https : //t.co/mghFUhgULL",
Sun Mar 08 21:54:11 +0000 2020," The Jihad War India Rages On Muslim arrested murder Hindu boy , Dilbar Negi , Muslim rioters burned alive cutting hands feet MSM busy smearing Modi 's plan save persecuted minorities living Islamic countries ( CAA ) https : //t.co/i2AHlVjYvj https : //t.co/OP4YGEKtOV",United States of America
Sun Mar 08 21:54:13 +0000 2020," Old script . Pick Muslim ( likely Kashmiri ) & amp ; accuse him/her ISIS supporter incites violence state . While incite violence camera roam free , unworried get away . https : //t.co/uw4GhR2YXP","Patna, India"
Sun Mar 08 21:54:15 +0000 2020," EAM Dr. S Jaishankar @ DrSJaishankar CAA & amp ; granting Citizenship : Every GOVT. , look citizenship , context & amp ; criterion . Show country world says everybody world welcome . NOBODY says '' 👏👏 # SJaishankar # CAA # ETGBS https : //t.co/ITEn81n9vG",
Sun Mar 08 21:54:16 +0000 2020," ' I TRUST MY PRIME MINISTER ' answer questions related CAA , NRC forcefully imposed imaginary fear related Muslim brothers living country . India still equally safe place religions . # iTRUSTMYPRIMEMINISTER",
Sun Mar 08 21:54:19 +0000 2020," “ Lives Endangered , ” Says Ex-IPS Officer Named In UP ’ CAA “ Shame ” List https : //t.co/Q8bj7BV6WY",Hong Kong
