Created At,Text,Location
Fri Mar 06 23:06:14 +0000 2020, Supreme Court agrees hear activist Saket Gokhale 's plea challenging constitutional validity Citizenship ( Amendment ) Act ; issues notice Centre . # CAA,"Chandigarh, India"
Fri Mar 06 23:06:14 +0000 2020, @ MisterMinhaj @ drramashish1980 @ Aabid49152275 @ asadowaisi @ TelanganaCMO @ MinisterKTR @ DrSJaishankar Dharmshala nahi… https : //t.co/FNnkyGNezS,Kya Karega!!
Fri Mar 06 23:14:27 +0000 2020," After watching video , still oppose CAA , barbaric ! This Hindu Pakistan narrates left acres land & amp ; fled India ! https : //t.co/xVHlN3iKhh",
Fri Mar 06 23:14:27 +0000 2020," I really love @ bethejuggernaut . As someone born India totally alien 's like actually live ( I left infant ) pub really helped understand homeland 's politics , culture , much . And writing wonderful . https : //t.co/pGrvr8asst","New York, NY"
Fri Mar 06 23:14:28 +0000 2020," The UN High Commissioner mentioned CAA raises important human rights issues , including compatibility relation `` Right Equality Before Law '' & amp ; `` Nondiscrimination Nationality Grounds '' India ’ human rights obligations . # UNRejectsCAA https : //t.co/ydAHBMLftI",
Fri Mar 06 23:14:32 +0000 2020," Foreign Hand Delhi riots . Jan24th , George Soros slams Modi Govt , pledges $ 1 billion 2 fight Nationalism . Feb 24th , Anti CAA riots erupt East Delhi . Harsh Mander , issued call hit streets board member Soros owned 'Open Society Foundations ' . Still doubt ?","Navi Mumbai, India"
Fri Mar 06 23:14:36 +0000 2020," Not long denounced 'enemies people ' , presumably .",
Fri Mar 06 23:14:42 +0000 2020, # CAA_NRC_NPR # NoNPRinDelhi Census npr nrc Citizenship Act 1955 Rules 2003,andhrapradesh
Fri Mar 06 23:14:47 +0000 2020," This 👇👇is million Dollar pic . Shri @ myogiadityanath ji ordered posting big pictures rioters anti # CAA riots . A woman rioter , looking picture wall Lucknow . Noticed .. , Burqa Hijab .. ? ? Yes.. Hijab & amp ; Burqa wr new Riots stunts . https : //t.co/P1qWQ4aG80",अखंड भारत
Fri Mar 06 23:14:48 +0000 2020," `` By putting names , photos addresses , government putting life safety danger , '' Congress member activist Sadaf Jafar told The Wire . https : //t.co/ITJQcS4uTh","Jeddah, Saudi Arabia"
Fri Mar 06 23:14:50 +0000 2020," This brave British Lady UK Parliament voices persecution minorities Pakistan , Bangladesh & amp ; Supports CAA Is UN trying meddle India 's internal matters keeping silent Pakistan 's rising atrocities ? # UNRejectsCAA # WomensDay # InternationalWomensDay https : //t.co/lFPsQXYLdJ","Mumbai, India"
Fri Mar 06 23:14:51 +0000 2020, Supreme Court stayed bail granted Karnataka High Court 21 Popular Front India ( PFI ) Terrorists accused relation violence Karnataka 's Mangaluru 19 December last year anti-CAA protests .,Akhand Bharat
Fri Mar 06 23:14:54 +0000 2020," Modi govt banned Malayalam channels Asianet & amp ; Media One 48 hrs ’ highlighting attack places worship , siding towards particular community , focusing vandalism CAA supporters , questioning RSS Delhi Police inaction. ’ + https : //t.co/y2cpsCXBcD",Edinburgh
Fri Mar 06 23:15:00 +0000 2020," What # UNHCR know # CAA # UNRejectsCAA ? # UNHCR allowed operate India since 1981 , even though India signed 1951 Refugee Status Convention 1967 Refugee Status Protocol . GOI ask wind activity intrusion",India
Fri Mar 06 23:15:06 +0000 2020," US religious freedom commission @ USCIRF perpetuates misinformation # CAA https : //t.co/BJAySHkcxQ Lost false misleading propaganda real victims CAA intended help : religiously persecuted refugees Afghanistan , Bangladesh , Pakistan . https : //t.co/89tOuIkL4U",Florida
Fri Mar 06 23:15:17 +0000 2020, @ MoneyB_FMS Nah shit counted activity activity ’ sync NRC smh . Let ’ run tomorrow ge… https : //t.co/V2Cz1ou0Cd,"Atlanta, GA"
Fri Mar 06 23:15:17 +0000 2020, People involved anti-CAA protests Noor e Ilahi harassed . Muslim boys threatened framed fake charges . Yesterday 5 Muslim boys picked afternoon four released P.S . Bhajanpura extorted money releasing .,
Fri Mar 06 23:15:18 +0000 2020, Those opposing CAA want Jehni Kohli continued raped .,its a doggy dog world
Fri Mar 06 23:15:24 +0000 2020," RT @ narendramodi177 : Modi Ji Explaining The Reality people opposing Triple Talaq , CAA , NRC Must watch & amp ; Share . https : //t.co/hMUBYaObj2",Russia
Fri Mar 06 23:15:33 +0000 2020, Religious leaders unite lead anti-CAA protest Madurai https : //t.co/pwfbxO3HAo,
Fri Mar 06 23:15:41 +0000 2020, RT @ BhagwaanUvacha : Those opposing CAA want Jehni Kohli continued raped .,Land of Gauls
Fri Mar 06 23:15:42 +0000 2020, Video emerges showing muslim women detailing sirens installed anti-CAA protest sites quickly mobilise mob Police . https : //t.co/fB025k5NIV,
Fri Mar 06 23:15:46 +0000 2020," 11 days back , I reported hooter system installed anti-CAA protest sites . Today @ indiatvnews team encountered system first hand .",
Fri Mar 06 23:15:52 +0000 2020, UP govt put Photos/Name/Address many Anti-CAA protesters public . Yogi govt accuses activists violence UP . Such kind act put life risk . This invitation Mob Lynching ? ? ? https : //t.co/uT2hWBwGhf,"Malegaon, India"
Fri Mar 06 23:15:52 +0000 2020, CAA & amp ; NRC Hearing United States Commission International Religious ... https : //t.co/T8e0iZ4ZO6 via @ YouTube Great Explanation Hearing UNHCHR What means consequences India # UNRejectCAA,INDIAN WITHOUT BORDERS.
Fri Mar 06 23:15:55 +0000 2020, Payal Rohtagi thinking Economy . Chetan Bhagat thinking CAA . Sadhguru thinking Secularism . Arnab thinking Peace & amp ; Harmony . Aur kitne achhe din chahiye mitron ? 😊,
Fri Mar 06 23:16:02 +0000 2020, RT @ DavidHenigUK : @ paulrey99 That n't industry CAA thought . As yesterday .,
Fri Mar 06 23:16:04 +0000 2020, The school turned # ShaheenBagh . Who compensate lives Ratan Lal Ankit Sharma ?,தமிழ்நாடு/Tamilnadu India
Fri Mar 06 23:16:15 +0000 2020, RT @ Oye_Jahazi : Nike wants NRC India 😍 NRC - Just Do It ✔️ https : //t.co/DCLbzykM51,RoopNagarPremGali Kholi no 420
Fri Mar 06 23:16:15 +0000 2020, 😍 Get Free iPhone 11 Pro ! 😍 Click Here - https : //t.co/H5tUEOLtq1 # iPhone11Pro # gamer # GiftCard # fashion # code # offers # beautiful # BlackFriday # USA # TrumpIsAnIdiot # money # ShehnaazGill # ProCamerasMaxPerformance # WIN # PUBG # Houston # CAA # TXT_OurStartLine https : //t.co/TQFnf3ibZa,
Fri Mar 06 23:16:34 +0000 2020, @ SeanLMelia @ DavidHenigUK It seems art 66 EU neg mandate points towards bi-lateral aviation safety… https : //t.co/eyOzk5AW4o,"Hampshire, UK"
Fri Mar 06 23:16:38 +0000 2020, Anti-India sepoys using UN excuse # Hinduphobia . Shocked level illiteracy among anti CAA troops . It takes 10 minutes high school student read CAA 2019 amendment 1955 law . It GIVES citizenship . Does NOT TAKE AWAY . Stop circus !,
Fri Mar 06 23:16:39 +0000 2020," ‘ Fail To Understand Why CAA Is Discriminatory ’ : Renowned Lawyer Harish Salve And intellectual liberal would able answer , forget musllms ’ even know CAA https : //t.co/BiYgtuwQhu",
Fri Mar 06 23:16:46 +0000 2020, RT @ radiotarang : They ca n't even tell full form CAA NRC NPR . See level brainwashing hatred towards GOI . https : //t.co/6Gs7…,Around the world 
Fri Mar 06 23:16:58 +0000 2020, If policies decided twitter😂 So I spoke someone knows AS 20+ yrs & amp ; speaks monthly He said AS duty bound protect “ integrity ” Bharat You make inference,
Fri Mar 06 23:16:59 +0000 2020," RT @ PoliticalKida : Modi Ji explaining reality people opposing Triple Talaq , CAA , NRC . Must watch & amp ; Share ! https : //t.co/IcKQ9GN08O","London, England"
Fri Mar 06 23:17:09 +0000 2020, RT @ AshrafFem : America ’ USA Commnity also Rejects CAA-NRC & amp ; Asam Detention center . # UNRejectsCAA https : //t.co/UoxUVQF6uW,
Fri Mar 06 23:17:13 +0000 2020, What ’ problem man waa wear short 🩳 ? uno suck mi stomach bad . Why uno caa stay like white ppl n mind… https : //t.co/RTH8tKZBv4,jamaica
Fri Mar 06 23:17:18 +0000 2020, # UNRejectsCAA # UNRejectsCAA # UNRejectsCAA # UNRejectsCAA # UNRejectsCAA Yes Indians rejected CAA hatred https : //t.co/KiU2rDetO6,
Fri Mar 06 23:17:20 +0000 2020," Have ever seen government , like petulant 5-year old , puts names , addresses phone numbers private citizens public , compromising safety , dared exercise fundamental right protest ? https : //t.co/Y19OjJkOA1",Edinburgh
Fri Mar 06 23:17:23 +0000 2020, All diplomatic relations Afghanistan India failed ... CAA caused Afghan muslims turn India . # UNRejectsCAA either . https : //t.co/re96FX0JLO,
Fri Mar 06 23:17:28 +0000 2020," RT @ Tahiriq37682045 : # UNRejectsCAA # UNRejectsCAA We allow , history repeat We stood CAA hate https : //t.…",
Fri Mar 06 23:17:34 +0000 2020," RT @ SalmanNizami_ : Thank UN ; CAA communal , CAA anti- Constitution , CAA anti- democracy , CAA anti- India . # UNRejectsCAA http…",
Fri Mar 06 23:17:35 +0000 2020," Reason British Parliament worried , Narendra Modi , Hindu Nationalism , Islamophobia , Delhi Violence , RSS , CAA etc For us nothing worry sit back enjoy show 's going Londonistan 👍👍😂 https : //t.co/rBhKnTB2s9","Chennai, India"
Fri Mar 06 23:17:44 +0000 2020," RT @ speak_sajid : Citizen Ammendment act Is Against Article 5,10,14,15 India Against CAA # UNRejectsCAA # UNRejectsCAA https : //t.co/rOrE068…",
Fri Mar 06 23:17:47 +0000 2020," In Lucknow , @ UPGovt puts names vandals took part anti CAA protests , defaced damaged govt & amp ; public property course . https : //t.co/6o4TO2JFkd",
Fri Mar 06 23:18:03 +0000 2020, What happening country Holi near business market big companies taking our… https : //t.co/iC5OZi43xp,
Fri Mar 06 23:18:10 +0000 2020, RT @ gulzarhashmi58 : # UNRejectsCAA Thanks UN Save democracy . CAA Communal . It 's Muslim . https : //t.co/cFj97INCp0,
Fri Mar 06 23:18:12 +0000 2020," This terrorism Jihad , name Allah . Only Allah stop .",MA USA
Fri Mar 06 23:18:18 +0000 2020, # UNRejectsCAA Boot licking news channel failed job . They failed hide black truth CAA NRC front UN👇👇👇👇👇👇👇👇👇👇👇👇👇🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 # UNRejectCAA https : //t.co/8AUIOLEqNx,
Fri Mar 06 23:18:27 +0000 2020," Sets dangerous precedent . Apart unwarranted intrusion Executive 's domain . Visa NOT right , issue 'Fundamental Right ' . Visa issued subject rules . If FRO determined Polish student violated , Judiciary review . https : //t.co/y7CeE0ZA0h",London 
Fri Mar 06 23:18:28 +0000 2020," RT @ ShaheenBaghs : ‘ Mumbai Bagh ’ : Women protesting CAA , NRC allege beaten police https : //t.co/ef4ga5W2SQ",
Fri Mar 06 23:18:44 +0000 2020," International Criticism CAA-NRC Delhi Riots 👉 In British Parliament 👉 In European Parliament 👉 United Nations Human Rights Chief complains Supreme Court 👉 USA Congress research wing criticized 👉 PM Turkey , Supreme Leader Iran condemned Modi Govt","Beed, Maharashtra"
Fri Mar 06 23:18:48 +0000 2020, Supreme Court agrees hear activist Saket Gokhale 's plea challenging constitutional validity Citizenship ( Amendment ) Act ; issues notice Centre . # CAA,
Fri Mar 06 23:18:51 +0000 2020," Mumbai Bagh ’ : Women protesting CAA , NRC allege beaten police . At least 36 women injured & amp ; 7 taken Nair Hospital X-rays & amp ; treatment . Why cops behaving like 😠 # MumbaiBagh # CAA_NRC_Protests https : //t.co/RMOUfQf9E6","Bengaluru, India"
Fri Mar 06 23:18:52 +0000 2020, Whatsoever happened Delhi last months never protest CAA NRC . The methods Shaheen Bagh similar Intifada terrorist organisations And 's riots clear Islamic terrorism Hindus . # SaveDelhiHindus,
Fri Mar 06 23:18:56 +0000 2020," @ RanaAyyub Ok Rana gathering khalistani support . If care much sikhs , support CAA . And speak… https : //t.co/qEzutzdbxk",
Fri Mar 06 23:18:58 +0000 2020," Three Hindu/Sikh girls picked every single day . But @ suhasinih , ’ reason enough # CAA . The real heartburn happening CAA exposed Jehad subcontinent . https : //t.co/ExwVfLzVuA",
Fri Mar 06 23:19:01 +0000 2020, @ srinivaspatri @ ShashiTharoor @ harsh_mander करेला वो भी नीम पर चढा हुआ You observed absolutely right worr… https : //t.co/htV63SyUjp,हिन्दुस्तान अखंड भारत
Fri Mar 06 23:19:06 +0000 2020, @ RaingirlRashi @ SakibulHoque8 @ Raj63245195 @ QuoVadi98199025 @ kashmirosint So NCR include Hindus left o… https : //t.co/9FH8tUO4tL,
Fri Mar 06 23:19:15 +0000 2020," 'Hoardings CAA violence-accused , names , addresses , Lucknow . ' Also , accused fail pay soon , property attached . ' The state sponsored arm-twisting tactic CAA protestors tyrannical & amp ; needs withdrawn . https : //t.co/wnn24amM0f",
Fri Mar 06 23:19:48 +0000 2020," My understanding EASA UAV/OPV/drone regulation shelf , ready go , “ oven ready ” might sa… https : //t.co/774kd3940n",
Fri Mar 06 23:19:54 +0000 2020, @ TVMohandasPai Tell . How ? way ? would # CAA NOT MET 's stated purpose providing relief m… https : //t.co/r4TBMhrOZd,
Fri Mar 06 23:20:17 +0000 2020," UK Labour party MP Nadia Whittome rejects word ‘ clash , ’ says Delhi violence systemic In British House Commons , Labour , SNP , Liberal Democrats Conservative MPs – including Indian origin – condemned CAA Delhi violence . https : //t.co/DMsZq3bcRy",
Fri Mar 06 23:20:25 +0000 2020, RT @ jaavedjaaferi : After DC comics ’ UP nomics # JusticeLeagueUPheaval https : //t.co/zF9HwzdQST,India
Fri Mar 06 23:20:32 +0000 2020, Hindus attack USA . Please beware Hindus anti-Hindu propaganda getting worse since # CAA . Uber driver irate & amp ; angry Hindu passenger saying Hindus killing Muslims India . Hindu shaken . Even I attacked workforce Hindu # CAA,India
Fri Mar 06 23:20:37 +0000 2020," While Economy dying Bank crashing , Here two good news Day 1 . Court rejects Sedition charges Bidar School anti CAA play 2 . Two person got convicted Pehlu khan lyncing case Godi Media wont Show , busy defaming Shaheen Bagh","Tamil Nadu, India"
Fri Mar 06 23:20:46 +0000 2020, @ AP CAA passed .,"New York, NY"
Fri Mar 06 23:20:49 +0000 2020," *Even if* individuals convicted crime , putting names personal details billboard would gross violation rights . The fact n't even convicted makes open call State mob `` justice . '' https : //t.co/2w9fkB5swO","Saudi Arabia, Riyadh"
Fri Mar 06 23:20:57 +0000 2020, 😍 Get Free iPhone 11 Pro ! 😍 Click Here - https : //t.co/BWPNBQRB97 # iPhone11Pro # gamer # GiftCard # fashion # code # offers # beautiful # BlackFriday # USA # TrumpIsAnIdiot # money # ShehnaazGill # ProCamerasMaxPerformance # WIN # PUBG # Houston # CAA # TXT_OurStartLine https : //t.co/HxXjcglNKB,
Fri Mar 06 23:21:00 +0000 2020," Madam Ms. @ maya206 Those people right privacy , destroy public property , spread h… https : //t.co/AvATOoPrDO",Earth
Fri Mar 06 23:21:08 +0000 2020, Nice work @ HinduAmerican,"Fremont, California, USA"
Fri Mar 06 23:21:24 +0000 2020, RT @ SwarajyaMag : ‘ Fail To Understand Why CAA Is Discriminatory ’ : Renowned Lawyer Harish Salve https : //t.co/Kqb5AUVx5K,
Fri Mar 06 23:21:28 +0000 2020," `` By putting names , photos addresses , government putting life safety danger . '' A call public lynching humiliation made . Who needs 'Detention ' second class citizenship ? https : //t.co/8EgXIa8F0t",
