Created At,Text,Location
Wed Mar 04 17:24:47 +0000 2020," UNHRC reached SC CAA . Now see irony- CAA fast-track provide citizenship refugees came due religious persecution . So @ UNHumanRights instead asking Pak , Afg n Ban stop religious persecution. , r asking India give citizenship😂",Constitution
Wed Mar 04 17:24:48 +0000 2020," Ayega Inquilab Pehenke bindi , chudiyan , burqa , hijab . My new work dedicated wonderful womxn forefront battle existence ! Youtube link : https : //t.co/NGzmJFC0gQ # शाहीनबाग_जीतेगा_मोदी_हारेगा # CAA_NRCProtests # CAA # ShaheenBaghProtest # ShaheenBaghs https : //t.co/t6KH24jLZR",
Wed Mar 04 17:24:50 +0000 2020," These MusIim women tell How FORCЕD & amp ; THRЕАTENED BY THEIR OWN MEN Go & amp ; sit Anti CAA Protests & amp ; raise Anti India Slogans . They Beаten Refuse . `` We didnt want go , Men entered housе & amp ; beat us & amp ; forced us go dharna '' https : //t.co/YEZEaonW9Z",Delhi
Wed Mar 04 17:24:50 +0000 2020, Hats old woman said UP police husband forcing sit anti-CAA protests . It takes guts speak men qualms beating harassing women .,
Wed Mar 04 17:24:50 +0000 2020, RT @ pokershash : ‘ Sherniya ’ explaining PIGs forced go anti- CAA protests 😂😂😂 https : //t.co/85qR2bxaMa,Mumbai
Wed Mar 04 17:24:50 +0000 2020, Remember dystopia pseudo liberals created internet ban Kashmir post # 370Abrogation ? How minorit… https : //t.co/GAPhFzsGP1,"Hyderabad, India"
Wed Mar 04 17:24:52 +0000 2020, Urgent : anyone concerned India & amp ; Kashmir tag @ RepEliotEngel . @ HouseForeign marking legislation TODAY ’ refusing consider HR 745 condemns atrocities Kashmir & amp ; potential amendment would denounced CAA & amp ; NRC . Spread word .,"West Bengal, India"
Wed Mar 04 17:24:53 +0000 2020, Dutch minister foreign affairs calls no-fly zone # Idlib . Major shift # Syria-policy # Netherlands,"London, UK"
Wed Mar 04 17:24:56 +0000 2020," Moments make worth journalist : Aish Mohammad , man served CRPF 22 yrs house burnt rioters ... today given cheque Rs 11 lakhs CRPF help rebuild house @ ndtv contacted CRPF story n decided help https : //t.co/u9tc5xankZ",Delhi
Wed Mar 04 17:24:57 +0000 2020," Moments make worth journalist : Aish Mohammad , man served CRPF 22 yrs house burnt rioters ... today given cheque Rs 11 lakhs CRPF help rebuild house @ ndtv contacted CRPF story n decided help",
Wed Mar 04 17:24:58 +0000 2020," Respect . While entire people Gujarat welcomed # CAA 's nationalist decision brought skillful leadership Prime Minister Shri @ narendramodi ji , State Home Minister Shri @ PradipsinhGuj Ji 's statement chaos unrest spread opposition",अखंड भारत
Wed Mar 04 17:25:00 +0000 2020, @ Towson_MBB clinched top three seed CAA Tournament . Check recap Tigers regular season final… https : //t.co/KLNH2PlBMs,"Towson, Maryland"
Wed Mar 04 17:25:03 +0000 2020," Now , Muslim women reveal husbands & amp ; neighbours forcing go anti CAA protests In fact , Muslim women beaten join anti CAA protests . Waris Pathan , said 'Sherniya ' ( lionesses ) , forgot many lionesses caged .",
Wed Mar 04 17:25:04 +0000 2020," CAA Act passed Indian Parliament . Muslims , help Modi haters , Commies & amp ; foreign funded NGOs opposing . By implication , want veto power Indian Parliament . @ davidfrawleyved @ abhijitmajumder @ mariawirth1 @ sgurumurthy @ Si_lv_er @ ashokepandit","Mumbai, India"
Wed Mar 04 17:25:05 +0000 2020," In India : Illegal Bangladeshi infiltrators protesting CAA . Recently 2 Bangladeshis arrested involvement Delhi 's Seemapuri violence . In Bangladesh : Today , Bangladesh security shot dead 8 Rohingyas near refugee camp allegedly involved drug & amp ; human trafficking","लक्ष्यद्वीप, भारत"
Wed Mar 04 17:25:05 +0000 2020," In Meerut , anti-CAA protestors tried close market forcibly..once forgot 's Mahantji charge Kya dhulai ki @ Uppolice ne ... maza aa gaya 🤣🤣🤣🤣https : //t.co/dDJPAvLs8z",
Wed Mar 04 17:25:05 +0000 2020, Due CAA : persecuted Hindu Pakistan wait 5 yrs instead 12 yrs apply citizenship . Mamata opposing every speech . But wants Muslim Bangladesh able walk get spot citizenship . Let sink .,"Pune, India"
