Sentence,Polarity,Subjectivity
Text,0.0,0.0
" Breaking : While Allahabd HC indicting harassing anti-CAA protesters , UP Govt sealed Ultrasound Centre Dr Madhavi Mittal ( Radiologist , AIIMS ) Allahabad today , punish husband extending support anti-CAA protest Mansoor Park . https : //t.co/2M5cD2TMHb",0.0,0.0
 @ krakek1 Interesting 6th CAA sits vis-a-vis Baltic States . Composed solely brigades .,0.5,0.5
 RT @ AbhishBanerj : Link https : //t.co/QWFuklSiyr,0.0,0.0
 UP seen severe damage property CAA arson . For first time administration taken rioters head . Judicial adventurism score liberal points drop administration 's morale . The goons burnt Lucknow threat . They threat others,0.25,0.3333333333333333
" Police sources said couple members ISIS , propagating ideology hatred non-Muslims thereby also inciting Muslims kill non-Muslims . https : //t.co/mghFUhgULL",0.0,0.0
" The Jihad War India Rages On Muslim arrested murder Hindu boy , Dilbar Negi , Muslim rioters burned alive cutting hands feet MSM busy smearing Modi 's plan save persecuted minorities living Islamic countries ( CAA ) https : //t.co/i2AHlVjYvj https : //t.co/OP4YGEKtOV",-0.13333333333333333,0.5333333333333333
" Old script . Pick Muslim ( likely Kashmiri ) & amp ; accuse him/her ISIS supporter incites violence state . While incite violence camera roam free , unworried get away . https : //t.co/uw4GhR2YXP",0.16666666666666666,0.6666666666666666
" EAM Dr. S Jaishankar @ DrSJaishankar CAA & amp ; granting Citizenship : Every GOVT. , look citizenship , context & amp ; criterion . Show country world says everybody world welcome . NOBODY says '' 👏👏 # SJaishankar # CAA # ETGBS https : //t.co/ITEn81n9vG",0.8,0.9
" ' I TRUST MY PRIME MINISTER ' answer questions related CAA , NRC forcefully imposed imaginary fear related Muslim brothers living country . India still equally safe place religions . # iTRUSTMYPRIMEMINISTER",0.16666666666666666,0.43333333333333335
" “ Lives Endangered , ” Says Ex-IPS Officer Named In UP ’ CAA “ Shame ” List https : //t.co/Q8bj7BV6WY",0.0,0.0
" RT @ rajshekharTOI : Hina Bashir Beg , arrested IS operative . https : //t.co/OBJYlrUFno",0.0,0.0
 Getting eyes CAA player year Nathan Knight William & amp ; Mary take Elon conference tournament quarterfinals . Around 20 NBA scouts attendance DC watch Grant Riller today . https : //t.co/XDPxul7kvC,0.0,0.0
 Intelligence agencies nabbed two Islamic State suspects Okhla . Special cell arrested . They motivating Muslims unite CAA carry terror strikes Jahanzaib Sami wife Hinda Bashir Beigh touch several senior ISKP operatives .,0.17857142857142858,0.2857142857142857
" Sharia Pakistan 2 little Hindu girls Pakistan abducted , begged India 's Modi protection Islamic captors Left FURIOUS Modi 's CAA gives citizenship non-muslims , like little girls tortured In ISLAMIC Pakistan # InternationalWomensDay https : //t.co/KH7hyTdIut",-0.125,0.3333333333333333
" Were surprised Syria model Delhi ? Here connection- “ Jahanjeb Sami Hina Bashir Beg linked Khorasan Module ISIS apprehended Jamia Nagar , Ohkla ” . These terrorists arranging called anti-CAA protest . # AntiHinduRiot https : //t.co/BEFXVVyfIZ",0.1,0.9
" International Criticism CAA-NRC Delhi Riots 👉 In British Parliament 👉 In European Parliament 👉 United Nations Human Rights Chief complains Supreme Court 👉 USA Congress research wing criticized 👉 PM Turkey , Supreme Leader Iran condemned Modi Govt",0.0,0.025
" Pramod Singh Kushwaha , Delhi Deputy Commissioner Police ( DCP ) : A couple , Jahanjeb Sami Hina Bashir Beg linked Khorasan Module ISIS apprehended Jamia Nagar , Ohkla . Couple instigating anti-CAA protests . https : //t.co/NcZUd0LlqJ",0.0,0.0
" Sadaf Jafar , participated anti-caa protests Lucknow recording & amp ; live videos Facebook . UP Police arrested , called Pakistani custody & amp ; n't inform family members taken . # BraveIndianWomen # WomensDay https : //t.co/red6RYeMMz",0.13636363636363635,0.5
 The College Network Darling sends Delaware CAA semis win Charleston https : //t.co/AkfijPq5U2,0.8,0.4
" Pramod Singh Kushwaha , Delhi Deputy Commissioner Police ( DCP ) : A couple , Jahanjeb Sami Hinda Bashir Beg linked Khorasan Module ISIS apprehended Jamia Nagar , Ohkla . Couple instigating anti-CAA protests .",0.0,0.0
" A HC true salt & amp ; oath ! Salute ! `` Hoardings 'Highly Unjust ' , HC orders Adityanath Govt remove hoardings names , photos anti-CAA protesters 3 pm today '' https : //t.co/EUB3VLfjdc",0.3534375,0.595
 Kudos Allahabad HC 's CJ Govind Mathur ordering removal hoardings & amp ; upholding personal liberty Over SC 's Bobde & amp ; Co likely order stay & amp ; postpone hearing months hoardings remain . Target achieved . https : //t.co/vkVY4mg0xl,0.0,0.65
" Dilip Biswas lost citizenship rights Assam documents 'weak' Imagine economic , social , psychological , emotional & amp ; physical stress undergo prove citizenship government voted . Say anti-Constitutional NPR/NRC/CAA https : //t.co/6PRdTSlOwm",-0.02361111111111111,0.2974206349206349
 RT @ iamdharmarajan2 : Watch EAM Jai Shankar slay UNHCR High Commissioner Michelle Bachelet one sentence `` She wrong '' .,-0.16999999999999998,0.72
" In response RTI query PMO clarifies since PM Modi born India need citizenship certificate . As corollary , anybody born India need prove citizenship . So need NPR NRC ? # NoCAANoNPRNoNRC https : //t.co/KKjeyUATjV",0.0,0.0
" Dr Krishnaswamy flays false propaganda TN media NPR/NRC . Asks anchor show notification Central Govt says , `` One 's citizenship terminated he/she fails produce birth proof his/her grandparents '' . PTTV stands exposed . https : //t.co/yRld8VxnfO",-0.25,0.3125
" A couple linked Khorasan Module Islamic State , arrested Delhi : 1 . They 've accused instigating anti-CAA protests & amp ; motivating youths terror 2 . A lot jihad literature recovered possession . Police identified Jahanjeb Sami & amp ; Hina Bashir",0.0,0.0
 RT @ DelawareMBB : # BlueHens Pull Away Second Half For 79-67 Win Over Charleston CAA Quarterfinals https : //t.co/3wEXRh3Ltw https : //t.c…,0.21111111111111114,0.18888888888888888
" NPR foundation NRIC . Does n't matter info collected . Many says n't give details . Well , enumerator write name & amp ; address IF nationwide NRC implemented , still marked `` doubtful citizen '' Nitish stop bluffing halt NPR",-0.0666666666666667,0.6666666666666666
 Liberals right crying Yogi govt put names anti-CAA rioters display big boards across Lucknow . They saying harassment . These liberals happily circulating photos Anurag Mishra saying Shahrukh .,0.22142857142857142,0.5589285714285714
 RT @ bainjal : Thank Allahabad high court much needed intervention https : //t.co/La3X5LbWcq,0.18,0.37
" Couple IS links detained Jamia Nagar , ‘ inciting anti-CAA protests ’ , say police | Indian Express Fancy words : “ IS , Khorasan. ” What ’ precise charge ? Violence incited Kapil Mishra IS . Bullshit story . IB credibility . https : //t.co/KxnjNqsvXy",0.4,0.8
" I wish # WomenInIslam would picked stones Triple Talaq,4 marriages , Illegal prostitution called Halala , discrimination inheritance , illiteracy & amp ; child marriage . But picked stones Democracy & amp ; Constitution & amp ; # CAA legally passed Parliament . Sad ! https : //t.co/wOH0m34Xz0",-0.30833333333333335,0.5666666666666667
" RT @ _shaaniiceee : @ dwl_jamaica Is even camel toe , waa dog caa force it🥴",0.0,0.0
 # InternationalWomensDay @ SeattleCouncil @ CityofSeattle @ Seattle4Strauss see video ? How abducted persec… https : //t.co/f6HaY961MR,0.0,0.0
" Please check dictionary meaning `` privacy '' Evangelist @ fayedsouza . Anyone comes streets create mayhem , throw petrol bombs & amp ; fire bullets & amp ; set fire homes , acting public , privacy home.Thanks CCTV cameras , culprits getting caught spot",0.0,0.03333333333333333
 We condemn sealing ultrasound centre Dr Madhavi Mital Allahabad Today.This done revenge UP govt bcz husband Dr Ashish extending support women ’ sit CAA/NRC/NPR . Punishing independent working woman women ’ day justified https : //t.co/ig8McoNTIn,0.2,0.5125
" Intelligence agencies arrested Couple Jahanjeb Sami & amp ; Hina Bashir Beg linked Khorasan Module ISIS @ KhanAmanatullah ‘ constituency Jamia Nagar , Ohkla . Couple instigating anti-CAA protests . M women cruel men . https : //t.co/AAtsTUGuS7",-1.0,1.0
