Sentence,Polarity,Subjectivity
Text,0.0,0.0
" RT @ IntrepidSaffron : Modi Ji take CAA Triple Talaq , Must watch 🔥🔥🔥 https : //t.co/jiYvcKqSJn",0.0,0.0
 @ ImtiazMadmood @ Sunnymitra9 Change name CAA Persecuted Refugees Act ( PRA ),0.0,0.0
" India n't need detention camps openly punishing killing Muslims streets houses . UP CM putting hoardings public places officially called violence . In UP law , court , judge & amp ; justice . https : //t.co/AP6yFXSQ5i",0.0,0.2833333333333333
 RT @ DavidHenigUK : The Civil Aviation Authority opposed leaving EU Aviation Safety Agency - https : //t.co/MrPeI4kD7e https : //t.co/Kk6Vi7t…,0.0,0.0
" International Criticism CAA-NRC Delhi Riots 👉 In British Parliament 👉 In European Parliament 👉 United Nations Human Rights Chief complains Supreme Court 👉 USA Congress research wing criticized 👉 PM Turkey , Supreme Leader Iran condemned Modi Govt",0.0,0.025
" This brave British Lady UK Parliament voices persecution minorities Pakistan , Bangladesh & amp ; Supports CAA Is UN trying meddle India 's internal matters keeping silent Pakistan 's rising atrocities ? # UNRejectsCAA # WomensDay # InternationalWomensDay https : //t.co/lFPsQXYLdJ",0.2,0.275
 RT @ radiotarang : They ca n't even tell full form CAA NRC NPR . See level brainwashing hatred towards GOI . https : //t.co/6Gs7…,0.35,0.55
 What last date apply citizenship CAA ? Will citizenship given even 5 years cla… https : //t.co/ytXeEDnxLE,0.0,0.06666666666666667
" We salute comrades Punjab blocking Bathinda-Rajpura railway line protest draconian laws CAA , NRC NPR ! Together fight India without communal violence , coexist peace harmony . # IndiaAgainstCAA_NRC_NPR # SecularIndia https : //t.co/dsKbfw0Kq5",0.0,0.0
 @ asc89 @ omarali50 @ AmericanIndic @ BurntOutCase @ leninrahman @ Parikramah @ LockOmoplata @ abhaynair14 @ sourabh_hod… https : //t.co/d4Cs3ByekS,0.0,0.0
" RT @ SalmanNizami_ : Thank UN ; CAA communal , CAA anti- Constitution , CAA anti- democracy , CAA anti- India . # UNRejectsCAA http…",0.0,0.0
" After watching video , still oppose CAA , barbaric ! This Hindu Pakistan narrates left acres land & amp ; fled India ! https : //t.co/xVHlN3iKhh",0.0,0.0
" With news zayn signed contract CAA , I made art celebrate . Hope like . 🔥🦅 @ zaynmalik @ caaspeakers RT/ Like Comment # ZaynIsComing https : //t.co/U2cmiPRGYe",0.0,0.0
" RT @ PoliticalKida : Modi Ji explaining reality people opposing Triple Talaq , CAA , NRC . Must watch & amp ; Share ! https : //t.co/IcKQ9GN08O",0.0,0.0
 RT @ billboard : CAA announced signing # Zayn https : //t.co/uZJs8YG3Xi,0.0,0.0
" Foreign Hand Delhi riots . Jan24th , George Soros slams Modi Govt , pledges $ 1 billion 2 fight Nationalism . Feb 24th , Anti CAA riots erupt East Delhi . Harsh Mander , issued call hit streets board member Soros owned 'Open Society Foundations ' . Still doubt ?",-0.10833333333333334,0.44166666666666665
 RT @ AshrafFem : America ’ USA Commnity also Rejects CAA-NRC & amp ; Asam Detention center . # UNRejectsCAA https : //t.co/UoxUVQF6uW,-0.1,0.1
" 3 muslim kids 10-15yrs age malegaon , maharashtra anti caa protests . -Kids family member encouraging get failed 10th board 's exam🙏🙏 -Musalmano apna majhab chhod do- parents r teaching abt CAA . -Last kids speech..just listen . https : //t.co/luOUd2hRXM",-0.25,0.18333333333333332
 We crossing limits absurdity . # FascistIndia Hoardings come Lucknow names addresses alleged anti-CAA protesters https : //t.co/FRUNr8ndwy,-0.1,0.1
 CAA Co-Executive Director Cynthia Choi hopped onto Apex Express talk Coronavirus/ CONVID-19 relates fa… https : //t.co/kADRjY08G8,0.0,0.0
" How one write many words Hindu supremacism , RSS , BJP , CAA , Savarkar etc without even mentioning Partition arguably key part context CAA . You agree disagree ( ) Savarkar concede Partition proved point .",0.25,0.75
" ‘ Mumbai Bagh ’ : Women protesting CAA , NRC allege beaten police At least 36 women injured seven taken Nair Hospital X-rays treatment . https : //t.co/km9kEZOaKA",-0.3,0.4
" While Economy dying Bank crashing , Here two good news Day 1 . Court rejects Sedition charges Bidar School anti CAA play 2 . Two person got convicted Pehlu khan lyncing case Godi Media wont Show , busy defaming Shaheen Bagh",0.39999999999999997,0.45000000000000007
" # CAAHoops commissioner Joe D ’ Antonio told @ DNR_Sports afternoon CAA Tournament , begins tomorrow Washington DC , scheduled . Johns Hopkins , nearby Baltimore , announced basketball would closed public . D ’ Antonio ’ full statement : https : //t.co/yFQYiOKiMB",0.08333333333333333,0.23888888888888893
 RT @ CofCBasketball : Cougars Head To D.C. For CAA Men 's Basketball Championship # comeCus https : //t.co/tV9hfmtA80,0.0,0.0
 RT @ CofCSports : Riller Galloway Garner CAA Postseason Honors https : //t.co/elJoJaHO2k,0.0,0.0
 This 👇👇is million Dollar pic . Shri @ myogiadityanath ji ordered posting big pictures rioters anti… https : //t.co/jEWvjL2CRn,0.0,0.1
" This top level , illegal harassment . The Courts UP take cognizance gross violations privacy rights . # doxxing https : //t.co/Hou3zsugEN",0.0,0.3333333333333333
 After DC comics ’ UP nomics # JusticeLeagueUPheaval https : //t.co/zF9HwzdQST,0.0,0.0
" Reason British Parliament worried , Narendra Modi , Hindu Nationalism , Islamophobia , Delhi Violence , RSS , CAA etc For us nothing worry sit back enjoy show 's going Londonistan 👍👍😂 https : //t.co/rBhKnTB2s9",0.13333333333333333,0.16666666666666666
 Supreme Court agrees hear activist Saket Gokhale 's plea challenging constitutional validity Citizenship ( Amendment ) Act ; issues notice Centre . # CAA,0.5,1.0
 @ MisterMinhaj @ drramashish1980 @ Aabid49152275 @ asadowaisi @ TelanganaCMO @ MinisterKTR @ DrSJaishankar Dharmshala nahi… https : //t.co/FNnkyGNezS,0.0,0.0
" After watching video , still oppose CAA , barbaric ! This Hindu Pakistan narrates left acres land & amp ; fled India ! https : //t.co/xVHlN3iKhh",0.0,0.0
" I really love @ bethejuggernaut . As someone born India totally alien 's like actually live ( I left infant ) pub really helped understand homeland 's politics , culture , much . And writing wonderful . https : //t.co/pGrvr8asst",0.2551948051948052,0.46428571428571436
