Sentence,Polarity,Subjectivity
 RT @ rvaidya2000 : Besh -- But worried abt CAA India -- crazy nuts : ) ) RT,-0.04999999999999999,0.95
" After EAM Foreign Secretary says NRC NO implication Bangladesh . So basically NRC tool harass India 's citizens , render stateless deny rights . https : //t.co/C8PFEmJdcb",-0.125,0.125
" UN High Commissioner Human Rights files intervention plea Supreme Court Citizenship Bill , India protests . https : //t.co/Q9gppfWpGY",0.08,0.31999999999999995
" That # Constitution established law ( Citizenship Act 1955 ) # India says . CM Mamata Banerjee taken oath uphold Constitution India . If indeed said , totally unacceptable shocking call 'UN referendum ' # CAA .",-0.5,0.875
 UNHRC filed petition SC CAA 🔸It 's big failure Modi Govt 's diplomacy 🔸UN directly interfering law passed parliament . Never happened ? 🔸Indicates world lost trust Modi 's ability abide rule law & amp ; human rights,-0.054166666666666675,0.225
" still 2.6 % . That 3,048,289 currently-valid certificates affected , ~116 million overall active Let… https : //t.co/YR4nTMyndz",-0.06666666666666667,0.3
 `` Courts equipped prevent riots '' - CJI Bobde '' Rioting must stop want apex court hear case '' - CJI Bobde warned Jamia students CAA protests https : //t.co/XeZhUJaHIM,0.0,0.0
 @ thelogicalPersp @ BahubaliDKiller @ Soumya58880358 @ Nehr_who @ suhasinih @ DilliDurAst So ur opposition CAA t… https : //t.co/GB9zpnNrJA,0.0,0.0
" This want , Muslims want muslims inside India Pak/Af/Bangla . Also Rohingya 's given citizenship . 'unfinished ' agenda executed earliest . Opposition parties wants get back saddle power loot Nation . Hindus ?",0.1,0.05
" Congress took internal matter India , Kashmir United Nation & amp ; generations Indians suffered . Now supports UN interference Indian Law- CAA . Thankfully India rejected 2014 -2919",0.0,0.0
" India , land Gandhi & amp ; Nehru , never line round shameful international opprobrium . Unprecedented : United Nations ⁦ @ UN⁩ High Commissioner Human Rights files intervention plea Supreme Court # CAA_NRC_Protests https : //t.co/wcWy7qFU0J",0.11199999999999999,0.388
" This Indian Parliament , House Lords , Upper House UK Parliament . Watch wonderful speech Lord Alton Liverpool Debates CAA. `` -- People India protesting draconian law communal unconstitutional '' https : //t.co/E6KOLDzK5i",0.5,0.5
" @ paragmasteh No . Its presumptions . Intr dont care , reports . CAA need !",0.0,0.0
 Such provocative speeches given maulanas name Anti caa protests since last 2 months different parts india . & amp ; come streets act per तकरीर maulanas . liberals wl blame kapil mishra.🙏🙏 https : //t.co/8CDhQt1STU,0.0,0.38888888888888884
 Introducing new subject talk ! First speech # GudhiPadwa # Jamat_E_Secular Ram Mandir CAA : How called seculars decieved nation . ( Marathi/Hindi/English ) Let 's understand # BreakingIndia conspiracy stay united ! # JaiHind https : //t.co/9nZxQMbU7D,0.08017676767676768,0.3737373737373737
 Big Breaking ! UN High Commissioner Human Rights ( UNHRC ) files intervention application India 's Supreme Court CAA . Well done UNHRC well done 👏👏,0.05333333333333334,0.24666666666666662
 RT @ RMCpost : This interesting ... . https : //t.co/rH9yVnwZ91,0.5,0.5
 The courts create far pressure us ordinary people delaying hearings & amp ; rulings unconstitution… https : //t.co/bOCPeZUhTt,-0.075,0.75
" Has UNHRC heard Lautenberg amendment persecuted groups grants refugee status United States Jews , Evangelical Christians , Catholics , Orthodox Baha ’ . UNHRC disclose many Hindus given refugees status Pak , Afg Bangladesh ? https : //t.co/rfRYW06f1e",0.15,0.55
" British MPs lined attack India House Commons today , CAA associated violence https : //t.co/CP6Yw3y4iF via @ timesofindia",0.0,0.0
" On Tuesday , MEA spokesperson , Raveesh Kumar , reiterated CAA internal affair India foreign party locus standi issues related India 's sovereignty https : //t.co/r9WQ2zhvY5",-0.041666666666666664,0.17500000000000002
" Holy moly , @ letsencrypt going revoke 3,048,289 certificates tomorrow `` may '' wrongfully issued due wrong CAA DNS check . To check 're affected , need re-issue certs ( tomorrow ! ) , check : https : //t.co/O5yZz3USRn",-0.375,0.6375
" @ besharam_clown tyrannical govt curbs fundamental rights , wages war # CAA constitution n violates Ind… https : //t.co/pwuI0kD9eG",0.0,0.0
" 14 years ago I wrote two bestsellers titled Hindus Under Siege Terrorism India . When Namo became PM 2014 I thought books become obsolete . But anti-CAA circus , US capitulation Afghanistan , books need updated .",0.0,0.0
" British MPs , across political spectrum , urging UK government take much stronger action response CAA violence linked https : //t.co/CP6Yw3y4iF via @ timesofindia",0.07500000000000001,0.1
