Sentence,Polarity,Subjectivity
Text,0.0,0.0
" UNHRC reached SC CAA . Now see irony- CAA fast-track provide citizenship refugees came due religious persecution . So @ UNHumanRights instead asking Pak , Afg n Ban stop religious persecution. , r asking India give citizenship😂",-0.041666666666666664,0.2916666666666667
" Ayega Inquilab Pehenke bindi , chudiyan , burqa , hijab . My new work dedicated wonderful womxn forefront battle existence ! Youtube link : https : //t.co/NGzmJFC0gQ # शाहीनबाग_जीतेगा_मोदी_हारेगा # CAA_NRCProtests # CAA # ShaheenBaghProtest # ShaheenBaghs https : //t.co/t6KH24jLZR",0.5681818181818181,0.7272727272727273
" These MusIim women tell How FORCЕD & amp ; THRЕАTENED BY THEIR OWN MEN Go & amp ; sit Anti CAA Protests & amp ; raise Anti India Slogans . They Beаten Refuse . `` We didnt want go , Men entered housе & amp ; beat us & amp ; forced us go dharna '' https : //t.co/YEZEaonW9Z",0.14999999999999997,0.6
 Hats old woman said UP police husband forcing sit anti-CAA protests . It takes guts speak men qualms beating harassing women .,0.1,0.2
 RT @ pokershash : ‘ Sherniya ’ explaining PIGs forced go anti- CAA protests 😂😂😂 https : //t.co/85qR2bxaMa,-0.30000000000000004,0.2
 Remember dystopia pseudo liberals created internet ban Kashmir post # 370Abrogation ? How minorit… https : //t.co/GAPhFzsGP1,0.0,0.0
 Urgent : anyone concerned India & amp ; Kashmir tag @ RepEliotEngel . @ HouseForeign marking legislation TODAY ’ refusing consider HR 745 condemns atrocities Kashmir & amp ; potential amendment would denounced CAA & amp ; NRC . Spread word .,0.0,1.0
 Dutch minister foreign affairs calls no-fly zone # Idlib . Major shift # Syria-policy # Netherlands,-0.03125,0.3125
" Moments make worth journalist : Aish Mohammad , man served CRPF 22 yrs house burnt rioters ... today given cheque Rs 11 lakhs CRPF help rebuild house @ ndtv contacted CRPF story n decided help https : //t.co/u9tc5xankZ",0.3,0.1
" Moments make worth journalist : Aish Mohammad , man served CRPF 22 yrs house burnt rioters ... today given cheque Rs 11 lakhs CRPF help rebuild house @ ndtv contacted CRPF story n decided help",0.3,0.1
" Respect . While entire people Gujarat welcomed # CAA 's nationalist decision brought skillful leadership Prime Minister Shri @ narendramodi ji , State Home Minister Shri @ PradipsinhGuj Ji 's statement chaos unrest spread opposition",0.0,0.625
 @ Towson_MBB clinched top three seed CAA Tournament . Check recap Tigers regular season final… https : //t.co/KLNH2PlBMs,0.25,0.28846153846153844
" Now , Muslim women reveal husbands & amp ; neighbours forcing go anti CAA protests In fact , Muslim women beaten join anti CAA protests . Waris Pathan , said 'Sherniya ' ( lionesses ) , forgot many lionesses caged .",0.5,0.5
" CAA Act passed Indian Parliament . Muslims , help Modi haters , Commies & amp ; foreign funded NGOs opposing . By implication , want veto power Indian Parliament . @ davidfrawleyved @ abhijitmajumder @ mariawirth1 @ sgurumurthy @ Si_lv_er @ ashokepandit",-0.125,0.125
" In India : Illegal Bangladeshi infiltrators protesting CAA . Recently 2 Bangladeshis arrested involvement Delhi 's Seemapuri violence . In Bangladesh : Today , Bangladesh security shot dead 8 Rohingyas near refugee camp allegedly involved drug & amp ; human trafficking",-0.11666666666666665,0.2916666666666667
" In Meerut , anti-CAA protestors tried close market forcibly..once forgot 's Mahantji charge Kya dhulai ki @ Uppolice ne ... maza aa gaya 🤣🤣🤣🤣https : //t.co/dDJPAvLs8z",0.0,0.0
 Due CAA : persecuted Hindu Pakistan wait 5 yrs instead 12 yrs apply citizenship . Mamata opposing every speech . But wants Muslim Bangladesh able walk get spot citizenship . Let sink .,0.19166666666666665,0.3666666666666667
 International behaviour towards India shown true nature world opinion towards India Anti CAA agitation . A big lie pinned us . Now UN HRC wants intervene Supreme Court hearing ! ! !,0.18515625,0.2125
 RT @ Gujju_Jon : After many fkcs https : //t.co/EZz56tYakH,0.5,0.5
" RT @ madeforbrettLEE : SAY NO TO CAA , NRC , NPR . FCUK BJP FCUK RSS",0.0,0.0
 Swara Bhaskar instigating public mocking `` humanetarian CAA bill '' . Watch till end Swara shared stage Sharjeel Imam wanted cut Aasam & amp ; arranged rallies free JNU backdoor She provoked public police @ TarekFatah https : //t.co/lKVvH36D6k,0.13333333333333333,0.3111111111111111
" @ amitmalviya Then & amp ; party indulged . By bringing CAA , NRC AND NPR .",0.0,0.0
 Citizens Mumbai backing hitting streets protest # CAA_NRC Today attended addressed Huge Protest Andheri West . We stay united say CAA/NRC/NPR @ FahadTISS @ ReallySwara @ naukarshah # IndiaAgainstCAA_NRC # CAAProtests https : //t.co/5uyoeSoKRz,0.4000000000000001,0.9
" `` 'Aadhar card helped convert black money white '' Clearly misguided anti CAA women idea talking , people like # HarshMander behind brainwashing minds using political tools # WomenofShaheenBagh # CongressUnitesIndia # SayNoToCAA https : //t.co/88leE2zKFs",-0.09333333333333334,0.32333333333333336
 The # WomenofShaheenBagh dialogue govt . But govt running away dialogue . Home Minister keeps challenging people stage debate CAA ? Why run away meeting women Shaheen Bagh ? https : //t.co/GSZsEKwvvY,0.5,1.0
 Great postmortem recent Boulder ( impacted LetsEncrypt ) CAA Rechecking bug https : //t.co/gdtpMwloF2,0.4,0.5
 RT @ ShefVaidya : Can someone please lock hate-filled bigot Harsh Mander prison throw away keys please ?,-0.2,0.7
 I hope Europe sees reason India 's proposed NRC .,0.0,0.0
 @ NooriMushab @ JebiMather @ IYC # WomenofShaheenBagh This What know Aadhar card '' Aadhaar Card helped t… https : //t.co/CUYiB4bAeH,0.0,0.0
 RT @ SamyKmuni : Devendrars support CAA # ஏரும்_போரும்_தேவேந்திரர்_மரபு,0.0,0.0
 RT @ desimojito : Declare Corona Virus illegal immigrant implement NRC tomorrow,-0.5,0.5
 RT @ mahesh10816 : I love UP police 😀,0.5,0.6
" `` Sardar Patel , Kolkata 1948 , asks Indian Ms – “ Majority Ms voted Pakistan . And 3-4 Crore still India . You say doubt patriotism . Ask . Why ? ” FAQ CAA https : //t.co/AG66Kk5dJs https : //t.co/nleFUvEnn5",0.0,0.0
" Looking quick effective relief age old Back Pain , Leg Pain , etc . Welcome Anti-CAA protest UP , world famous treatment Vaidya Shri Yogi Adityanath 🤣🤣😂😂 WATCH IT TO BELIEVE IT Cc @ AB_BJP @ BjymHO @ mahesh10816 @ Aabhas24 @ prettypadmaja https : //t.co/ek6B2UFeHi",0.3888888888888889,0.5666666666666667
 @ SidrahDP @ sakshijoshii On verge citizenship stripped ? ? ! ! Please tell us CAA stripping citizenship aunty ?,0.0,0.0
 RT @ delhichatter : After many fcuks 😂 https : //t.co/v5fIY6Rgal,0.5,0.5
 @ Robinbouw8 @ Minimuisje67 @ ehjongsma @ ddaa49 @ OprechtsNu @ Jodelieho @ Alleen_24_juli @ slaghoedje @ Hvbt36Henny… https : //t.co/5N3xwZif6w,0.0,0.0
 RT @ KhanShaan48 : Fight Continue Against CAA NRC NPR # WomenofShaheenBagh # IndiaAgainstCAA_NRC_NPR https : //t.co/nsSD7fLdOZ,0.0,0.0
" Anti-CAA riots India establishing Sharia , Nothing Else ! In 2017 , SP leader Mavia Ali said , '' We 're Muslims first , Indians later - If law clashes Islam , wo n't follow , Constitution , Parliament . We loyal country . '' # Jihad https : //t.co/3T9EirFAri",0.19444444444444442,0.3888888888888889
" Since 2002 charlatan Harsh Mander standing roof tops shouting secularism , pluralism & amp ; even democracy danger India sudden rise Hindutva & amp ; Fascism . If indeed iota truth would arrested 2 decades ago https : //t.co/LNlQ3DRXZB",-0.1,0.6
" The DCP , affidavit , says speech delivered Mander December last year anti-CAA protest held Jamia University `` contemptuous '' nature made `` derogatory remarks '' # SupremeCourt . # HarshMander @ DelhiPolice # CJIBobde",0.0,0.06666666666666667
 Harsh Mander filed mercy pleas Yakub Memon Ajmal Kasab . Harsh Mander seen inciting mobs state India . Old habits die hard ...,-0.1479166666666667,0.5354166666666667
" US pulled @ UN_HRC calling `` cess pool bias '' . Now , intervening ongoing case CAA India lived description . UNHRC first intervene Iran , Pak , China preach India .",0.25,0.3333333333333333
 This unprecedented step & amp ; arguably extreme one @ UN body take . But India respected upholder human rights past UN agency would needed consider thing : https : //t.co/b5KLsP3eb7,0.056249999999999994,0.5625
 Trouble For Harsh Mander ? A Video Of An Inflammatory Speech Delivered By Him In Jamia During Anti-CAA Protest Shown To SC Judges . Mander seen heard addressing frenzied bob saying “ future country decided streets ” https : //t.co/meEEkbctJx,-0.13333333333333333,0.3416666666666666
 RT @ ashwaniattrish : What ! ! !,0.0,0.0
 @ RepEliotEngel If n't support responsible Muslim genocide Kashmir India . # CAA # IOK,0.2,0.55
 Imagine THIS man HC get FIRs done people hate speech . THIS MAN - says neither Parliament Nor Supreme Court decide CAA decide streets . This man given midnight hearing judge . Imagine . https : //t.co/B4L68i1VoQ,-0.8,0.9
 @ barandbench @ ShashiTharoor Cong MP talking abt CAA SC judge Dias ? Can parliamentarians give directiv… https : //t.co/ATPaUgWYJt,0.0,0.0
 The whole exercise revolt engineered Sharia Naxals . They failed caused immense loss terms lives properties . Inaction embolden .,-0.09999999999999999,0.5666666666666667
" India 's concerns : 🔹Coronavirus 🔹Delhi riots 🔹Sinking economy 🔹CAA-NRC-NPR BJP 's response : 🔹IT & amp ; CRPF raids Chhattisgarh 🔹MLA horse trading MP 🔹Assaulting Opposition MPs Parliament 🔹Distract Clearly , BJP NO interest governing India . They want power .",0.10000000000000002,0.3833333333333333
 Escalating neglected violence South-West & amp ; North-West regions Cameroon takes another grave turn . Spike reports civilians gruesomely targeted . People forced flee must allowed access aid without fear . Mediation vital end conflict https : //t.co/ZK2gaLOErp,-0.39999999999999997,0.5333333333333333
 UNHRCs act filing petition SC CAA shocking extreme . Apart exhibiting gross double standards- never condemned let alone initiated action theocracy- ’ action nothing stark interference India ’ internal affairs,-0.140625,0.35000000000000003
 # DAY_57 NON-STOP 24/7 RESISTANCES AGAINST CAA-NRC-NPR REVOLUTIONARY POETRY BY DAUGHTERS OF SHAHEEN BAGH AURANGABAD # ShaheenBaghAurangabad # Aurangabad @ nazmaaman @ QutqutG @ India_Resists @ IndiasMuslims @ yehlog @ Ssaniya25 @ imMAK02 @ Iqra_K_ @ hazratbilli https : //t.co/LKHB4flhBe,0.0,0.0
 RT @ mahesh10816 : I love UP police 😀 https : //t.co/5qkgbwbgLc,0.5,0.6
" Asia Ikram , Jamia student also spoke difficulty finding cabs anti-CAA protests Jamia . She said , “ It 's nearly impossible get cab back Jamia literally anywhere Delhi. ” # Delhi https : //t.co/UstIjAIp2k",-0.3333333333333333,0.5
 # SpareHinduFestivals At First # StopKilingInTheNameOfAllah,0.25,0.3333333333333333
" India 's turn towards Hindu nationalism actions Kashmir , Assam , CAA cause nation receive largest score decline terms freedom among world ’ 25 largest democracies . Kashmir freedom status dropped Not Free . https : //t.co/3NZbBrmo9q",-0.2,0.8
" Mothers & amp ; grandmothers stage weeks-long sit-in CAA . A mother 29 day old daughter , grandmothers & amp ; children . History remember women fighting cold weather & amp ; protesting . Kudos Spirit ❤️ # WomenofShaheenBagh https : //t.co/WgDg6WLWqx",-0.25,0.6
" Mobile internet messaging services withdrawn six districts Khasi Jaintia Hills region following clashes tribal non-tribal groups , claimed three lives . https : //t.co/LAxff4I0uS",0.0,0.1
 RT @ kaaashif : Albany New York state unanimously passes resolution condemning India 's CAA . https : //t.co/l4PMFydCu5 https : //t.co/aJGbeWG…,0.13636363636363635,0.45454545454545453
" Cornered court , Mandar ’ lawyer Nundy sought time verify video met prompt retort SG Mehta said strange Mander one hand wants time verify speech hand demanding immediate FIRs others .",0.07500000000000001,0.125
 The truth stranger fiction . U may nt like bt tht mean truth wl change . Any intellectual lead… https : //t.co/zgnh5JT7ds,-0.0062500000000000056,0.54375
" From removing Articles 370 & amp ; 35a Constitution CAA & amp ; NRC , Modi & amp ; BJP whipping anti-Muslim hate . The violence Delhi , dozens died , latest example . Today I called government speak bigotry . https : //t.co/fcsCCgf6cd",-0.15000000000000002,0.9
" Thank much , Zarah . I literally short words express gratitude ☺️ Love Kashmir 💕",0.2333333333333333,0.3666666666666667
 Having failed get traction India ’ abolition Article 370 India ’ enemies malign India based falsehoods regarding CAA . The focus gullible Europe . The EU resolutions Economist cover story : Intolerant India part concerted design .,-0.5,0.3
 # CAA_NRC_Protests 1/2 # DelhiRiots This disgusting face Hindutva . They arrest burned Muslims houses & amp ; Masjids . The police threatened peaceful protesters protesting CAA . This woman first threatened police . # WomenofShaheenBagh https : //t.co/3hbrHKo9cr,-0.1375,0.4583333333333333
" When 18,999 nationals neibhouring countries given citizenship 5 years , without reference religion , necessity # CAA @ AmitShah ? To create unrest ?",0.0,0.0
" 🤔Will heard , , hearings challenges constitutionality Demonetization ( event ~ 1210 days ago ) ?",0.0,0.0
" Harsh Mander , formerly NAC run Sonia Gandhi , instigating rebellion elected Parliament India SC . He telling people revolt two pillars democracy . SC , right said today , must FIRST sort . https : //t.co/Wx75sMxPx2",0.08392857142857142,0.39226190476190476
" The ugly reality CAA protests - Mushtaq , Momin & amp ; Pappu entered homes Rehana & amp ; Meena , beat & amp ; forced participate anti-CAA protests . I understand awkward situation left liberals - Confused whether support 'Secularism ' 'Feminism ' ? 🤔 https : //t.co/Sn9pbySx0H",-0.4,0.5800000000000001
 CAA affects minority groups like LGBTQI* people & amp ; Dalits . Those suffer historically disa… https : //t.co/03Z5ZyDiwm,0.0,0.0
 @ realDonaldTrump ..this anti india scum supposedly ur country ... grab scruff deport back India ...,-0.15,0.2
 @ NirliptaJ @ UmarKhalidJNU What 's wrong CAA.can tell us ?,-0.5,0.9
" In rural # Assam , many understd # NRC red tape/ Kafkesque implementation . But even remotest villages , ppl know govt ca n't keep jailed 3 yrs . That 's @ harsh_mander 's PIL . He 's saved 100s lives Assam .",0.16666666666666666,0.16666666666666666
" `` Decision happen neither Supreme court Parliament , made streets '' Harsh Mander , assigned Soros break India . This hatemonger seen inciting mob violence Jamia Millia Islamia University . https : //t.co/N9FomKG8Kq",-0.2,0.7
 @ ANSHUBAJPAI1 @ RahulGandhi Are u drunk running anti caa nrc campaign ? .,-0.5,1.0
" 'Internal Issues ' per BJP 🔸Delhi Pogrom 🔸CAA & amp ; NRC 🔸Lynchings When Sanghis involved hate speech & amp ; violence , 'Internal Issue' India signatory UN 's Universal Declaration Human Rights When institutions & amp ; judiciary fail , world intervene !",-0.23750000000000002,0.21666666666666665
 @ AnnePolkamp @ jokeleenders @ JRienke @ nrc @ LaScNo Yes must ! Awesome thank,1.0,1.0
" A clarification : read CAA alone ( implemented via NRC ) , yes , even Hindus , Sikhs , Buddhists , etc . left stateless unless 're able establish Afghani , Bangladeshi Pakistani roots . So sure , NRC secular discriminates the.. 1/n",0.3333333333333333,0.5046296296296297
 Good treatment .,0.7,0.6000000000000001
 Why earth @ RepEliotEngel standing human rights basic human dignity ?,0.0,0.10833333333333334
 @ RanaAyyub @ mirakamdar Anti national journalists like u didnt mention reason 2002 ( burning Hindus Godhra… https : //t.co/rUcp9YJgh5,0.0,0.0
" Hate Speech Harsh Mander-says Supreme Court uphold secularism cases NRC , Ayodhya , Kashmir . These issues decided Supreme Court Parliament . We come roads & amp ; decide issues roads . Citizens request SC reject petition today @ CPDelhi",-0.5,0.8
" @ DelhiPolice everything possible demean . You seem forget job harass , threaten terrorise civilians ... paid tax monies serve us . How dare behave shamelessly .",0.0,1.0
" Faisla ( Judgment ) happen Supreme Court Parliament , happen streets . This Harsh Mandar . Occupy streets - cool speech , @ KapilMishra_IND hate speech asking streets cleared . Bombs grenades-self defence . RIght streets-terror",-0.09107142857142861,0.6964285714285714
 India defends CAA UN rights chief approaches Supreme Court @ AJENews https : //t.co/0DHISWPtCI,0.0,0.0
 Coronavirus outbreak Delhi..😷 Everyone advised involve mass gatherings..🙏 Meanwhile CAA Protesters..😂 # CoronavirusReachesDelhi # CoronaAlert # CAA_NRC_Protests https : //t.co/s8lJkxxsyl,0.0,0.0
