Sentence,Polarity,Subjectivity
" Not true : claim @ pacificgreentec suggests support scrubber use , based comments VLSFO black carbon emissions . This misrepresents position : seek Arctic HFO ban : No HFO = need scrubbers . Several CAA members actively campaigning open-loop scrubbers . https : //t.co/lYWXEnrEcY",-0.11875,0.4208333333333334
 Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/ZnKa1sIImh,0.5,0.5
" Sets dangerous precedent . Apart unwarranted intrusion Executive 's domain . Visa NOT right , issue 'Fundamental Right ' . Visa issued subject rules . If FRO determined Polish student violated , Judiciary review .",-0.15595238095238095,0.5761904761904763
 Hate update . After CAA passed Parliament Dec 11 ... . Assam- 6 killed Uttar Pradesh- 19 ( per police ) Karnataka- 2 Meghalaya- 3 Delhi-53 Total-83,-0.5,0.45
 @ TheDragSlayer4 @ MusketeerGooner @ dikgaj CAA nothing dalits . saving non hindus who… https : //t.co/EeLTJrzzXI,0.0,0.0
" A weeks ago , news European Parliament wants `` discuss '' India 's CAA amendment 2019 . Did n't work . Today , news European Union giving Greece , $ 780 million keep migrants away Europe ! Cont 'd ...",0.06666666666666667,0.03333333333333333
 Another video old address social activist Harsh Mander shared social media falsely project instigated violence anti-CAA protests . Read # AltNewsFactCheck . | @ Pooja_Chaudhuri https : //t.co/3TwfA4uNPB,-0.08666666666666668,0.32666666666666666
 @ vijaita What 's wrong CAA ... ALL THREE NEIGHBOURING COUNTRIES PAK AFGHAN AND BANGLA ARE ISLAMIC COUNTRY AND MUSLI… https : //t.co/cQShmUhxbX,-0.5,0.9
 This video reach everyone NRC Poland living example allowing illegal migrants enter country important internal security country https : //t.co/hvJW7PXujb,-0.033333333333333326,0.5
" The daft international media thinks # CAA applies Indian citizens . It ’ . Not Muslims India , ANYONE India . CAA applies persecuted minority REFUGEES 3 neighbouring Islamic countries— Pak , BD & amp ; Afgh . Got guys ? @ guardian , @ WSJ @ washingtonpost @ nytimes",0.0,0.0
" Muslims India allowed go masjids offering prayers .India launched # CAA Which totally inhuman law , sending Muslims detention centers convert Hindus . # IndianMuslimsInDanger",0.0,0.75
 The Shaheen Bagh protest proved Islamist agenda nation day Jihadi goons murdered Ankit Sharma Ratan Lal . It never protest CAA NRC . It anti India protest backed Radical Islamic Groups . # ShaheenBaghEmpty https : //t.co/Ap2zM4y15M,0.0,0.0
 Anti CAA protest meeting reportedly organized DMK MLA Meiyanathan inside Sidhdhi Vinayak temple @ Alangudi Pudhukkottai dist . Devotional songs stopped per instructions Muslim speakers participated . Who permitted Muslims use Hindu temple venue Anti CAA meet ? https : //t.co/eOjVWUGGAS,0.0,0.0
" On asked repeatedly finds objectionable CAA , man replies : There might something 's problematic , otherwise many streets protesting . OPEN YOUR EYES . ( clip courtesy @ LOLiyapa ) https : //t.co/WV3x70VxMd",0.25,0.5
 @ Voice_For_India @ cachandansharma Pls sort @ BorisJohnson @ patel4witham @ RishiSunak # CAA law passed absolute m… https : //t.co/ZEgxbgmx4F,0.2,0.9
 Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/tSIc8d8VM8,0.5,0.5
 He amongst top lawyers in🌍 & amp ; Constitutional expert-a staunch nationalist made Pak bite dust ICJ defending Kulbhushan Jadhav & amp ; purely love for🇮🇳 w/o ₹ He aligned party-see wt Harish Salve ji says abt CAA : ITS NECESSARY https : //t.co/VzDcGdidMn,0.3333333333333333,0.7000000000000001
" RT @ PTI_News : Calcutta HC stays Centre 's notice Polish student , asking leave India allegedly participating anti-CAA protest",-0.1,0.1
" Police n't file FIR Kapil Mishra says Goli Maro , wants charge Harsh Mander , campaigning hate ! Watch entire speech says fight divisive NRC must win love & amp ; brotherhood https : //t.co/rn54bLhLs8",0.05000000000000001,0.5541666666666667
